[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524149834.957000 4/19/2018, 8:57:14 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_33K_3000s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524149834.954,,0.000000e+000,3.299750e+001,-1.667964e-004,0.000000e+000,3,9.920416e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.392365e-003,0.000000e+000,0,,0,
1524149847.084,,0.000000e+000,3.299750e+001,-1.694016e-004,0.000000e+000,3,9.922535e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.392365e-003,0.000000e+000,0,,0,
1524149859.582,,0.000000e+000,3.299992e+001,-1.709710e-004,0.000000e+000,3,9.923878e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.071381e-003,0.000000e+000,0,,0,
1524149872.025,,0.000000e+000,3.299888e+001,-1.721367e-004,0.000000e+000,3,9.925398e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524149884.450,,0.000000e+000,3.299957e+001,-1.730731e-004,0.000000e+000,3,9.929363e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.380920e-003,0.000000e+000,0,,0,
1524149897.023,,0.000000e+000,3.300130e+001,-1.739585e-004,0.000000e+000,3,9.929766e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.079010e-003,0.000000e+000,0,,0,
1524149909.973,,0.000000e+000,3.299992e+001,-1.745783e-004,0.000000e+000,3,9.927201e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.071381e-003,0.000000e+000,0,,0,
1524149922.993,,0.000000e+000,3.299888e+001,-1.751255e-004,0.000000e+000,3,9.928148e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.758026e-003,0.000000e+000,0,,0,
1524149935.983,,0.000000e+000,3.299819e+001,-1.756552e-004,0.000000e+000,3,9.928297e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.377106e-003,0.000000e+000,0,,0,
1524149948.241,,0.000000e+000,3.299888e+001,-1.761925e-004,0.000000e+000,3,9.926693e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524149960.961,,0.000000e+000,3.299854e+001,-1.766127e-004,0.000000e+000,3,9.930294e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.866455e-004,0.000000e+000,0,,0,
1524149973.899,,0.000000e+000,3.299854e+001,-1.770626e-004,0.000000e+000,3,9.926859e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.866455e-004,0.000000e+000,0,,0,
1524149986.476,,0.000000e+000,3.299888e+001,-1.773608e-004,0.000000e+000,3,9.928313e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.377106e-003,0.000000e+000,0,,0,
1524149999.112,,0.000000e+000,3.299854e+001,-1.776601e-004,0.000000e+000,3,9.927608e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.866455e-004,0.000000e+000,0,,0,
