[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1523939557.961000 4/16/2018, 10:32:37 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_40K_6000s_3000s_VRMde_40K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1523958196.332,,0.000000e+000,3.999888e+001,-2.011651e-004,0.000000e+000,3,9.907160e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958208.699,,0.000000e+000,3.999939e+001,-2.026143e-004,0.000000e+000,3,9.908022e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958220.874,,0.000000e+000,3.999991e+001,-2.038262e-004,0.000000e+000,3,9.910141e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.059937e-003,0.000000e+000,0,,0,
1523958233.027,,0.000000e+000,3.999887e+001,-2.048277e-004,0.000000e+000,3,9.910561e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958245.187,,0.000000e+000,3.999836e+001,-2.055687e-004,0.000000e+000,3,9.912397e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958257.235,,0.000000e+000,3.999991e+001,-2.063532e-004,0.000000e+000,3,9.910622e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958270.290,,0.000000e+000,3.999991e+001,-2.070482e-004,0.000000e+000,3,9.911783e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958283.030,,0.000000e+000,3.999732e+001,-2.076033e-004,0.000000e+000,3,9.912060e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.108978e-003,0.000000e+000,0,,0,
1523958295.681,,0.000000e+000,4.000094e+001,-2.080583e-004,0.000000e+000,3,9.910961e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958309.408,,0.000000e+000,3.999939e+001,-2.086361e-004,0.000000e+000,3,9.913417e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.097534e-003,0.000000e+000,0,,0,
1523958321.888,,0.000000e+000,3.999991e+001,-2.091650e-004,0.000000e+000,3,9.912128e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958335.024,,0.000000e+000,3.999991e+001,-2.093534e-004,0.000000e+000,3,9.915043e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958348.326,,0.000000e+000,3.999887e+001,-2.099960e-004,0.000000e+000,3,9.912639e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958361.011,,0.000000e+000,3.999577e+001,-2.103757e-004,0.000000e+000,3,9.913004e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.131317e-003,0.000000e+000,0,,0,
1523958373.657,,0.000000e+000,3.999681e+001,-2.105773e-004,0.000000e+000,3,9.911366e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.138947e-003,0.000000e+000,0,,0,
1523958386.234,,0.000000e+000,3.999887e+001,-2.109309e-004,0.000000e+000,3,9.912702e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958398.582,,0.000000e+000,3.999939e+001,-2.112529e-004,0.000000e+000,3,9.912382e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958412.012,,0.000000e+000,3.999836e+001,-2.115654e-004,0.000000e+000,3,9.914766e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958424.417,,0.000000e+000,3.999887e+001,-2.118988e-004,0.000000e+000,3,9.913819e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958436.598,,0.000000e+000,3.999836e+001,-2.122974e-004,0.000000e+000,3,9.916195e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958449.040,,0.000000e+000,3.999836e+001,-2.125761e-004,0.000000e+000,3,9.914293e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958461.415,,0.000000e+000,3.999836e+001,-2.127097e-004,0.000000e+000,3,9.913011e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958473.833,,0.000000e+000,3.999577e+001,-2.128206e-004,0.000000e+000,3,9.911945e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.131317e-003,0.000000e+000,0,,0,
1523958486.163,,0.000000e+000,3.999629e+001,-2.131064e-004,0.000000e+000,3,9.915151e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.168915e-003,0.000000e+000,0,,0,
1523958498.843,,0.000000e+000,3.999733e+001,-2.133452e-004,0.000000e+000,3,9.913666e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958511.644,,0.000000e+000,4.000042e+001,-2.135466e-004,0.000000e+000,3,9.914115e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.157471e-003,0.000000e+000,0,,0,
1523958525.199,,0.000000e+000,3.999526e+001,-2.138207e-004,0.000000e+000,3,9.915383e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.161285e-003,0.000000e+000,0,,0,
1523958538.139,,0.000000e+000,3.999939e+001,-2.139827e-004,0.000000e+000,3,9.912727e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958551.844,,0.000000e+000,3.999732e+001,-2.142209e-004,0.000000e+000,3,9.913711e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.168915e-003,0.000000e+000,0,,0,
1523958564.174,,0.000000e+000,3.999681e+001,-2.144112e-004,0.000000e+000,3,9.913495e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.198883e-003,0.000000e+000,0,,0,
1523958576.715,,0.000000e+000,3.999733e+001,-2.145878e-004,0.000000e+000,3,9.913298e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958589.772,,0.000000e+000,4.000042e+001,-2.147960e-004,0.000000e+000,3,9.914568e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958602.335,,0.000000e+000,3.999887e+001,-2.149439e-004,0.000000e+000,3,9.912042e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958615.823,,0.000000e+000,3.999887e+001,-2.150982e-004,0.000000e+000,3,9.914081e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958627.973,,0.000000e+000,3.999888e+001,-2.152540e-004,0.000000e+000,3,9.915081e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958640.126,,0.000000e+000,3.999888e+001,-2.154798e-004,0.000000e+000,3,9.915543e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958652.266,,0.000000e+000,3.999888e+001,-2.156345e-004,0.000000e+000,3,9.914221e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958664.946,,0.000000e+000,3.999784e+001,-2.158082e-004,0.000000e+000,3,9.913261e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958677.306,,0.000000e+000,3.999680e+001,-2.159515e-004,0.000000e+000,3,9.914717e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.071381e-003,0.000000e+000,0,,0,
1523958689.714,,0.000000e+000,3.999888e+001,-2.160691e-004,0.000000e+000,3,9.914928e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958701.887,,0.000000e+000,3.999784e+001,-2.162046e-004,0.000000e+000,3,9.915668e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958714.304,,0.000000e+000,3.999836e+001,-2.162996e-004,0.000000e+000,3,9.916466e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.097534e-003,0.000000e+000,0,,0,
1523958726.099,,0.000000e+000,3.999784e+001,-2.165095e-004,0.000000e+000,3,9.915303e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.138947e-003,0.000000e+000,0,,0,
1523958738.967,,0.000000e+000,3.999887e+001,-2.166009e-004,0.000000e+000,3,9.916205e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958751.547,,0.000000e+000,3.999836e+001,-2.167746e-004,0.000000e+000,3,9.913526e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958764.152,,0.000000e+000,4.000094e+001,-2.168435e-004,0.000000e+000,3,9.915997e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.119873e-003,0.000000e+000,0,,0,
1523958776.690,,0.000000e+000,3.999887e+001,-2.169778e-004,0.000000e+000,3,9.914671e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958789.218,,0.000000e+000,3.999888e+001,-2.170511e-004,0.000000e+000,3,9.915124e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523958801.795,,0.000000e+000,3.999939e+001,-2.171785e-004,0.000000e+000,3,9.913743e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958815.286,,0.000000e+000,3.999887e+001,-2.172978e-004,0.000000e+000,3,9.915264e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958827.418,,0.000000e+000,3.999784e+001,-2.174411e-004,0.000000e+000,3,9.915984e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958839.438,,0.000000e+000,3.999784e+001,-2.175536e-004,0.000000e+000,3,9.917223e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958852.479,,0.000000e+000,3.999784e+001,-2.176387e-004,0.000000e+000,3,9.913482e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958864.766,,0.000000e+000,3.999681e+001,-2.178197e-004,0.000000e+000,3,9.913781e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.138947e-003,0.000000e+000,0,,0,
1523958876.964,,0.000000e+000,3.999784e+001,-2.179304e-004,0.000000e+000,3,9.916470e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958889.197,,0.000000e+000,3.999836e+001,-2.180334e-004,0.000000e+000,3,9.915717e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.097534e-003,0.000000e+000,0,,0,
1523958901.684,,0.000000e+000,3.999887e+001,-2.181080e-004,0.000000e+000,3,9.916603e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958914.310,,0.000000e+000,3.999784e+001,-2.182945e-004,0.000000e+000,3,9.914994e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523958927.067,,0.000000e+000,3.999629e+001,-2.183422e-004,0.000000e+000,3,9.916630e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.041412e-003,0.000000e+000,0,,0,
1523958939.542,,0.000000e+000,3.999733e+001,-2.183988e-004,0.000000e+000,3,9.915706e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523958952.045,,0.000000e+000,3.999836e+001,-2.184966e-004,0.000000e+000,3,9.917416e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
1523958965.285,,0.000000e+000,3.999836e+001,-2.186116e-004,0.000000e+000,3,9.916477e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.037598e-003,0.000000e+000,0,,0,
