[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524405095.676000 4/22/2018, 7:51:35 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_36K_0.02Kmin_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524405095.673,,0.000000e+000,3.498113e+001,-3.015675e-005,0.000000e+000,2,9.774330e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524405108.743,,0.000000e+000,3.498152e+001,-2.800563e-005,0.000000e+000,2,9.727604e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.120422e-003,0.000000e+000,0,,0,
1524405121.899,,0.000000e+000,3.498542e+001,-2.657008e-005,0.000000e+000,2,9.695846e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.248474e-003,0.000000e+000,0,,0,
1524405134.481,,0.000000e+000,3.499246e+001,-2.551174e-005,0.000000e+000,2,9.672454e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.688263e-003,0.000000e+000,0,,0,
1524405146.989,,0.000000e+000,3.499599e+001,-2.452850e-005,0.000000e+000,2,9.667048e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.910065e-003,0.000000e+000,0,,0,
1524405160.317,,0.000000e+000,3.500224e+001,-2.380084e-005,0.000000e+000,2,9.657287e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524405173.152,,0.000000e+000,3.499989e+001,-2.309110e-005,0.000000e+000,2,9.644226e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524405186.000,,0.000000e+000,3.499833e+001,-2.256672e-005,0.000000e+000,2,9.624426e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524405199.160,,0.000000e+000,3.499598e+001,-2.212811e-005,0.000000e+000,2,9.620733e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524405211.912,,0.000000e+000,3.499793e+001,-2.167125e-005,0.000000e+000,2,9.596778e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.131866e-003,0.000000e+000,0,,0,
1524405224.570,,0.000000e+000,3.499598e+001,-2.127834e-005,0.000000e+000,2,9.597896e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524405237.253,,0.000000e+000,3.499715e+001,-2.087353e-005,0.000000e+000,2,9.597249e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.571655e-003,0.000000e+000,0,,0,
1524405249.940,,0.000000e+000,3.499754e+001,-2.050305e-005,0.000000e+000,2,9.592031e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524405262.626,,0.000000e+000,3.499637e+001,-2.021541e-005,0.000000e+000,2,9.581130e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
