[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524689565.212000 4/25/2018, 2:52:45 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_36.5K_0.32Kmin_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524689565.209,,0.000000e+000,3.511487e+001,-3.179520e-006,0.000000e+000,3,7.658868e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.441376e-003,0.000000e+000,0,,0,
1524689577.797,,0.000000e+000,3.512274e+001,-2.392052e-006,0.000000e+000,3,7.061535e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.877350e-003,0.000000e+000,0,,0,
1524689590.449,,0.000000e+000,3.513418e+001,-1.547839e-006,0.000000e+000,3,5.241373e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.182175e-002,0.000000e+000,0,,0,
1524689603.160,,0.000000e+000,3.515113e+001,-1.099768e-006,0.000000e+000,3,3.133872e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.736069e-002,0.000000e+000,0,,0,
1524689615.992,,0.000000e+000,3.516772e+001,6.634499e-007,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.581192e-002,0.000000e+000,0,,0,
1524689819.929,,0.000000e+000,3.516811e+001,4.294174e-006,0.000000e+000,3,8.339331e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184082e-002,0.000000e+000,0,,0,
1524689832.606,,0.000000e+000,3.515114e+001,4.162703e-006,0.000000e+000,3,8.221062e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.263046e-002,0.000000e+000,0,,0,
1524689845.984,,0.000000e+000,3.514206e+001,4.245701e-006,0.000000e+000,3,8.316433e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524689858.549,,0.000000e+000,3.513773e+001,4.318850e-006,0.000000e+000,3,8.371317e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.730225e-003,0.000000e+000,0,,0,
1524689871.195,,0.000000e+000,3.513418e+001,4.353684e-006,0.000000e+000,3,8.430987e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.368927e-003,0.000000e+000,0,,0,
1524689883.805,,0.000000e+000,3.513220e+001,4.332044e-006,0.000000e+000,3,8.393512e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.583099e-003,0.000000e+000,0,,0,
1524689896.385,,0.000000e+000,3.512865e+001,4.475804e-006,0.000000e+000,3,8.457316e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.372742e-003,0.000000e+000,0,,0,
1524689909.068,,0.000000e+000,3.512629e+001,4.427153e-006,0.000000e+000,3,8.410730e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524689921.660,,0.000000e+000,3.512392e+001,4.480219e-006,0.000000e+000,3,8.458829e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.508423e-003,0.000000e+000,0,,0,
1524689934.248,,0.000000e+000,3.511999e+001,4.614768e-006,0.000000e+000,3,8.450581e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524689946.643,,0.000000e+000,3.511802e+001,4.647620e-006,0.000000e+000,3,8.505054e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.730225e-003,0.000000e+000,0,,0,
1524689959.513,,0.000000e+000,3.511211e+001,4.786951e-006,0.000000e+000,3,8.506293e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.080078e-003,0.000000e+000,0,,0,
1524689972.151,,0.000000e+000,3.510699e+001,4.723523e-006,0.000000e+000,3,8.492957e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.150940e-003,0.000000e+000,0,,0,
1524689984.984,,0.000000e+000,3.510227e+001,4.943564e-006,0.000000e+000,3,8.542789e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524689997.384,,0.000000e+000,3.509952e+001,4.873614e-006,0.000000e+000,3,8.622491e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524690010.014,,0.000000e+000,3.509755e+001,4.924165e-006,0.000000e+000,3,8.580011e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.139496e-003,0.000000e+000,0,,0,
1524690022.629,,0.000000e+000,3.509480e+001,5.024277e-006,0.000000e+000,3,8.564747e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.361298e-003,0.000000e+000,0,,0,
1524690035.247,,0.000000e+000,3.509323e+001,5.029569e-006,0.000000e+000,3,8.596331e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.361298e-003,0.000000e+000,0,,0,
1524690048.195,,0.000000e+000,3.509283e+001,5.128955e-006,0.000000e+000,3,8.658297e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.150940e-003,0.000000e+000,0,,0,
1524690060.937,,0.000000e+000,3.509402e+001,5.125698e-006,0.000000e+000,3,8.639805e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524690074.253,,0.000000e+000,3.509519e+001,5.224315e-006,0.000000e+000,3,8.612717e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.718781e-003,0.000000e+000,0,,0,
1524690086.860,,0.000000e+000,3.509480e+001,5.299042e-006,0.000000e+000,3,8.706420e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524690099.483,,0.000000e+000,3.509362e+001,5.293198e-006,0.000000e+000,3,8.692595e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.139496e-003,0.000000e+000,0,,0,
1524690112.106,,0.000000e+000,3.509244e+001,5.291303e-006,0.000000e+000,3,8.684222e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524690124.728,,0.000000e+000,3.509244e+001,5.384214e-006,0.000000e+000,3,8.683003e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.361298e-003,0.000000e+000,0,,0,
1524690137.368,,0.000000e+000,3.509008e+001,5.347634e-006,0.000000e+000,3,8.689160e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.357483e-003,0.000000e+000,0,,0,
1524690149.979,,0.000000e+000,3.508772e+001,5.405884e-006,0.000000e+000,3,8.715760e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.361298e-003,0.000000e+000,0,,0,
1524690162.601,,0.000000e+000,3.508654e+001,5.457272e-006,0.000000e+000,3,8.723548e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524690175.227,,0.000000e+000,3.508379e+001,5.504760e-006,0.000000e+000,3,8.763515e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524690187.844,,0.000000e+000,3.508183e+001,5.433399e-006,0.000000e+000,3,8.744317e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.571655e-003,0.000000e+000,0,,0,
1524690200.479,,0.000000e+000,3.507711e+001,5.623253e-006,0.000000e+000,3,8.790450e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.158569e-003,0.000000e+000,0,,0,
1524690213.085,,0.000000e+000,3.507475e+001,5.597907e-006,0.000000e+000,3,8.781275e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524690225.702,,0.000000e+000,3.507161e+001,5.628569e-006,0.000000e+000,3,8.762140e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.722595e-003,0.000000e+000,0,,0,
1524690238.322,,0.000000e+000,3.506572e+001,5.651756e-006,0.000000e+000,3,8.747865e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524690250.945,,0.000000e+000,3.506062e+001,5.696851e-006,0.000000e+000,3,8.791261e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.707336e-003,0.000000e+000,0,,0,
1524690263.583,,0.000000e+000,3.505473e+001,5.719161e-006,0.000000e+000,3,8.767677e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.061005e-003,0.000000e+000,0,,0,
1524690276.170,,0.000000e+000,3.505003e+001,5.756830e-006,0.000000e+000,3,8.870518e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524690288.806,,0.000000e+000,3.504375e+001,5.749896e-006,0.000000e+000,3,8.811242e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.489349e-003,0.000000e+000,0,,0,
1524690301.438,,0.000000e+000,3.503630e+001,5.702908e-006,0.000000e+000,3,8.798231e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.699707e-003,0.000000e+000,0,,0,
1524690314.068,,0.000000e+000,3.502729e+001,5.799910e-006,0.000000e+000,3,8.839062e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.049561e-003,0.000000e+000,0,,0,
1524690326.716,,0.000000e+000,3.502063e+001,5.833492e-006,0.000000e+000,3,8.788546e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.259918e-003,0.000000e+000,0,,0,
1524690339.339,,0.000000e+000,3.501437e+001,5.786769e-006,0.000000e+000,3,8.836676e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.263733e-003,0.000000e+000,0,,0,
1524690352.009,,0.000000e+000,3.500575e+001,5.889273e-006,0.000000e+000,3,8.830321e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.131866e-003,0.000000e+000,0,,0,
1524690364.704,,0.000000e+000,3.500106e+001,5.923497e-006,0.000000e+000,3,8.885950e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524690377.399,,0.000000e+000,3.499950e+001,5.957374e-006,0.000000e+000,3,8.875656e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524690390.117,,0.000000e+000,3.499833e+001,5.950254e-006,0.000000e+000,3,8.849403e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524690402.800,,0.000000e+000,3.499715e+001,5.928722e-006,0.000000e+000,3,8.894602e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524690415.490,,0.000000e+000,3.499754e+001,5.930243e-006,0.000000e+000,3,8.867362e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
