[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524355798.650000 4/21/2018, 6:09:58 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_36K_0.04Kmin_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524355798.647,,0.000000e+000,3.499598e+001,-2.353964e-005,0.000000e+000,2,9.681669e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524355811.433,,0.000000e+000,3.499364e+001,-2.298632e-005,0.000000e+000,2,9.657018e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.910065e-003,0.000000e+000,0,,0,
1524355823.955,,0.000000e+000,3.499677e+001,-2.246045e-005,0.000000e+000,2,9.636237e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524355836.165,,0.000000e+000,3.499715e+001,-2.201758e-005,0.000000e+000,2,9.633413e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524355848.888,,0.000000e+000,3.499871e+001,-2.155058e-005,0.000000e+000,2,9.625634e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524355861.208,,0.000000e+000,3.499950e+001,-2.113263e-005,0.000000e+000,2,9.614720e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524355873.666,,0.000000e+000,3.499911e+001,-2.076098e-005,0.000000e+000,2,9.603924e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524355886.394,,0.000000e+000,3.499989e+001,-2.041626e-005,0.000000e+000,2,9.598548e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524355899.091,,0.000000e+000,3.499989e+001,-2.010140e-005,0.000000e+000,2,9.588148e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.342224e-003,0.000000e+000,0,,0,
1524355911.762,,0.000000e+000,3.499872e+001,-1.975820e-005,0.000000e+000,2,9.581612e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524355924.462,,0.000000e+000,3.499872e+001,-1.947138e-005,0.000000e+000,2,9.568346e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524355937.099,,0.000000e+000,3.499872e+001,-1.922787e-005,0.000000e+000,2,9.566575e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524355949.835,,0.000000e+000,3.499872e+001,-1.898320e-005,0.000000e+000,2,9.565051e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524355962.475,,0.000000e+000,3.499754e+001,-1.870311e-005,0.000000e+000,2,9.541805e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524355975.200,,0.000000e+000,3.499833e+001,-1.850598e-005,0.000000e+000,2,9.552361e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524355987.638,,0.000000e+000,3.499793e+001,-1.829824e-005,0.000000e+000,2,9.536202e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524356001.115,,0.000000e+000,3.499911e+001,-1.811900e-005,0.000000e+000,2,9.548770e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524356013.820,,0.000000e+000,3.499794e+001,-1.789639e-005,0.000000e+000,2,9.546895e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524356025.911,,0.000000e+000,3.499833e+001,-1.772429e-005,0.000000e+000,2,9.530961e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524356038.598,,0.000000e+000,3.499872e+001,-1.749268e-005,0.000000e+000,2,9.533852e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524356050.981,,0.000000e+000,3.499872e+001,-1.735240e-005,0.000000e+000,2,9.535753e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
