[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524209799.799000 4/20/2018, 1:36:39 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_37K_1500s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524209799.797,,0.000000e+000,3.699917e+001,-1.852329e-004,0.000000e+000,3,9.923975e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.758575e-003,0.000000e+000,0,,0,
1524209812.239,,0.000000e+000,3.700049e+001,-1.865852e-004,0.000000e+000,3,9.925655e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.811951e-004,0.000000e+000,0,,0,
1524209825.077,,0.000000e+000,3.700005e+001,-1.876577e-004,0.000000e+000,3,9.926906e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524209837.542,,0.000000e+000,3.700049e+001,-1.885438e-004,0.000000e+000,3,9.926221e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.811951e-004,0.000000e+000,0,,0,
1524209849.602,,0.000000e+000,3.700005e+001,-1.892559e-004,0.000000e+000,3,9.927720e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524209862.477,,0.000000e+000,3.700005e+001,-1.899151e-004,0.000000e+000,3,9.927167e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.762390e-003,0.000000e+000,0,,0,
1524209874.538,,0.000000e+000,3.699917e+001,-1.905851e-004,0.000000e+000,3,9.926971e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524209887.088,,0.000000e+000,3.700005e+001,-1.910873e-004,0.000000e+000,3,9.927436e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.762390e-003,0.000000e+000,0,,0,
1524209899.581,,0.000000e+000,3.700049e+001,-1.915594e-004,0.000000e+000,3,9.927562e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.811951e-004,0.000000e+000,0,,0,
1524209912.588,,0.000000e+000,3.699917e+001,-1.919963e-004,0.000000e+000,3,9.927855e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.758575e-003,0.000000e+000,0,,0,
