[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524152521.764000 4/19/2018, 9:42:01 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_33K_3000s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524152521.761,,0.000000e+000,3.318956e+001,-2.000759e-005,0.000000e+000,3,9.631699e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.744507e-001,0.000000e+000,0,,0,
1524152534.229,,0.000000e+000,3.375974e+001,-1.744898e-005,0.000000e+000,3,9.551153e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.455704e-001,0.000000e+000,0,,0,
1524152546.287,,0.000000e+000,3.438644e+001,-1.507449e-005,0.000000e+000,3,9.471402e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.969887e-001,0.000000e+000,0,,0,
1524152558.932,,0.000000e+000,3.483173e+001,-1.284389e-005,0.000000e+000,3,9.345432e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.059708e-001,0.000000e+000,0,,0,
1524152591.140,,0.000000e+000,3.501163e+001,-8.578379e-006,0.000000e+000,3,8.980780e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.609772e-003,0.000000e+000,0,,0,
1524152603.970,,0.000000e+000,3.500536e+001,-7.848023e-006,0.000000e+000,3,8.918794e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.609772e-003,0.000000e+000,0,,0,
1524152616.993,,0.000000e+000,3.500497e+001,-7.177540e-006,0.000000e+000,3,8.742381e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.827759e-003,0.000000e+000,0,,0,
1524152629.425,,0.000000e+000,3.500067e+001,-6.508158e-006,0.000000e+000,3,8.671059e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524152642.103,,0.000000e+000,3.499950e+001,-6.067134e-006,0.000000e+000,3,8.581839e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524152654.801,,0.000000e+000,3.499833e+001,-5.672742e-006,0.000000e+000,3,8.463461e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524152667.481,,0.000000e+000,3.499989e+001,-5.209300e-006,0.000000e+000,3,8.317040e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.342224e-003,0.000000e+000,0,,0,
1524152680.296,,0.000000e+000,3.499911e+001,-4.964365e-006,0.000000e+000,3,8.220389e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524152692.646,,0.000000e+000,3.499989e+001,-4.691992e-006,0.000000e+000,3,8.085581e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524152704.691,,0.000000e+000,3.500185e+001,-4.434922e-006,0.000000e+000,3,7.849248e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.688263e-003,0.000000e+000,0,,0,
1524152717.294,,0.000000e+000,3.499911e+001,-4.168463e-006,0.000000e+000,3,7.849131e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524152729.952,,0.000000e+000,3.499911e+001,-3.991421e-006,0.000000e+000,3,7.755465e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524152742.627,,0.000000e+000,3.499950e+001,-3.699701e-006,0.000000e+000,3,7.639433e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524152755.292,,0.000000e+000,3.499950e+001,-3.535223e-006,0.000000e+000,3,7.399217e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524152767.837,,0.000000e+000,3.500106e+001,-3.210463e-006,0.000000e+000,3,7.058946e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
