[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1523919102.216000 4/16/2018, 4:51:42 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_40K_12000s_VRMde_40K_12000s.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1523919102.214,,0.000000e+000,4.000042e+001,-2.854214e-005,0.000000e+000,3,9.713777e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919115.562,,0.000000e+000,3.999939e+001,-2.695037e-005,0.000000e+000,3,9.700319e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.097534e-003,0.000000e+000,0,,0,
1523919128.644,,0.000000e+000,3.999939e+001,-2.577133e-005,0.000000e+000,3,9.682212e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919141.264,,0.000000e+000,3.999784e+001,-2.483064e-005,0.000000e+000,3,9.665451e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523919153.692,,0.000000e+000,3.999939e+001,-2.401431e-005,0.000000e+000,3,9.655408e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.097534e-003,0.000000e+000,0,,0,
1523919166.877,,0.000000e+000,3.999939e+001,-2.333509e-005,0.000000e+000,3,9.656915e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919179.373,,0.000000e+000,4.000094e+001,-2.275420e-005,0.000000e+000,3,9.647834e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523919191.595,,0.000000e+000,4.000145e+001,-2.233386e-005,0.000000e+000,3,9.631281e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919203.885,,0.000000e+000,3.999887e+001,-2.181276e-005,0.000000e+000,3,9.621086e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523919216.543,,0.000000e+000,3.999887e+001,-2.135900e-005,0.000000e+000,3,9.597938e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523919228.698,,0.000000e+000,3.999939e+001,-2.096168e-005,0.000000e+000,3,9.605982e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919240.838,,0.000000e+000,3.999888e+001,-2.062025e-005,0.000000e+000,3,9.606841e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523919252.861,,0.000000e+000,4.000042e+001,-2.025149e-005,0.000000e+000,3,9.591110e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919265.659,,0.000000e+000,3.999887e+001,-1.986810e-005,0.000000e+000,3,9.597942e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.067566e-003,0.000000e+000,0,,0,
1523919278.344,,0.000000e+000,3.999939e+001,-1.954041e-005,0.000000e+000,3,9.569712e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919290.344,,0.000000e+000,3.999888e+001,-1.937342e-005,0.000000e+000,3,9.573072e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1523919303.224,,0.000000e+000,4.000042e+001,-1.906649e-005,0.000000e+000,3,9.587854e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919316.077,,0.000000e+000,3.999991e+001,-1.877695e-005,0.000000e+000,3,9.531849e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.059937e-003,0.000000e+000,0,,0,
1523919328.827,,0.000000e+000,3.999939e+001,-1.851900e-005,0.000000e+000,3,9.546287e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919341.182,,0.000000e+000,3.999939e+001,-1.828946e-005,0.000000e+000,3,9.527217e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919353.350,,0.000000e+000,3.999939e+001,-1.814381e-005,0.000000e+000,3,9.507124e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
1523919365.505,,0.000000e+000,4.000042e+001,-1.785779e-005,0.000000e+000,3,9.514343e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.089905e-003,0.000000e+000,0,,0,
1523919378.663,,0.000000e+000,3.999991e+001,-1.767162e-005,0.000000e+000,3,9.548599e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.059937e-003,0.000000e+000,0,,0,
1523919390.678,,0.000000e+000,3.999991e+001,-1.743627e-005,0.000000e+000,3,9.519947e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.059937e-003,0.000000e+000,0,,0,
1523919403.886,,0.000000e+000,3.999732e+001,-1.725431e-005,0.000000e+000,3,9.523199e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.108978e-003,0.000000e+000,0,,0,
1523919416.511,,0.000000e+000,3.999939e+001,-1.703616e-005,0.000000e+000,3,9.494727e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.029968e-003,0.000000e+000,0,,0,
