[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524282205.215000 4/20/2018, 9:43:25 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_34K_3000s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524282205.195,,0.000000e+000,3.500262e+001,-5.371670e-006,0.000000e+000,2,8.473671e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524282217.860,,0.000000e+000,3.500224e+001,-4.915843e-006,0.000000e+000,2,8.362594e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524282230.710,,0.000000e+000,3.500028e+001,-4.587074e-006,0.000000e+000,2,8.097594e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282243.556,,0.000000e+000,3.500263e+001,-4.197749e-006,0.000000e+000,2,8.062699e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.699707e-003,0.000000e+000,0,,0,
1524282256.253,,0.000000e+000,3.500498e+001,-3.796468e-006,0.000000e+000,2,7.816619e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282268.928,,0.000000e+000,3.500028e+001,-3.457872e-006,0.000000e+000,2,7.599180e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-003,0.000000e+000,0,,0,
1524282281.634,,0.000000e+000,3.500067e+001,-3.147609e-006,0.000000e+000,2,7.370765e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524282294.336,,0.000000e+000,3.500184e+001,-2.826655e-006,0.000000e+000,2,7.144122e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282306.996,,0.000000e+000,3.500067e+001,-2.519008e-006,0.000000e+000,2,6.725559e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524282319.712,,0.000000e+000,3.499754e+001,-2.306263e-006,0.000000e+000,2,6.394502e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.910065e-003,0.000000e+000,0,,0,
1524282332.389,,0.000000e+000,3.499833e+001,-2.050546e-006,0.000000e+000,2,5.880026e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.470276e-003,0.000000e+000,0,,0,
1524282345.082,,0.000000e+000,3.499638e+001,-1.855376e-006,0.000000e+000,2,5.511118e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.131866e-003,0.000000e+000,0,,0,
1524282357.722,,0.000000e+000,3.499989e+001,-1.656582e-006,0.000000e+000,2,5.086913e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524282370.397,,0.000000e+000,3.499911e+001,-1.499094e-006,0.000000e+000,2,4.841571e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282383.088,,0.000000e+000,3.499872e+001,-1.309516e-006,0.000000e+000,2,3.521276e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282395.803,,0.000000e+000,3.499911e+001,-1.097910e-006,0.000000e+000,2,2.400925e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282408.480,,0.000000e+000,3.499911e+001,-9.508631e-007,0.000000e+000,2,1.365735e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282421.178,,0.000000e+000,3.499950e+001,-7.888329e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282433.863,,0.000000e+000,3.499950e+001,-6.736330e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282446.551,,0.000000e+000,3.500028e+001,-4.777557e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282459.266,,0.000000e+000,3.499833e+001,-3.438440e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524282471.939,,0.000000e+000,3.499950e+001,-2.451938e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282484.632,,0.000000e+000,3.499833e+001,-1.016546e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524282497.334,,0.000000e+000,3.499833e+001,3.989931e-008,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524282510.012,,0.000000e+000,3.499911e+001,1.582005e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282522.722,,0.000000e+000,3.499872e+001,2.835646e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282535.402,,0.000000e+000,3.499950e+001,3.950282e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282548.092,,0.000000e+000,3.499911e+001,4.985565e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282560.773,,0.000000e+000,3.499872e+001,5.704231e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282573.483,,0.000000e+000,3.499911e+001,6.843082e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282586.185,,0.000000e+000,3.499950e+001,7.846197e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282598.858,,0.000000e+000,3.499911e+001,8.306458e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282611.556,,0.000000e+000,3.499872e+001,9.405437e-007,0.000000e+000,2,1.317464e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282624.254,,0.000000e+000,3.499950e+001,1.050207e-006,0.000000e+000,2,1.853169e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282636.949,,0.000000e+000,3.499911e+001,1.124981e-006,0.000000e+000,2,2.815183e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282649.641,,0.000000e+000,3.499911e+001,1.221263e-006,0.000000e+000,2,3.143480e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282662.322,,0.000000e+000,3.499872e+001,1.255833e-006,0.000000e+000,2,3.268598e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282675.012,,0.000000e+000,3.499872e+001,1.357597e-006,0.000000e+000,2,3.698105e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282687.710,,0.000000e+000,3.499872e+001,1.443855e-006,0.000000e+000,2,4.088892e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282700.415,,0.000000e+000,3.499911e+001,1.484875e-006,0.000000e+000,2,4.420797e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282713.105,,0.000000e+000,3.499950e+001,1.600372e-006,0.000000e+000,2,4.703882e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282725.788,,0.000000e+000,3.499911e+001,1.619778e-006,0.000000e+000,2,4.812801e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282738.495,,0.000000e+000,3.499950e+001,1.725684e-006,0.000000e+000,2,5.151184e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282751.180,,0.000000e+000,3.499754e+001,1.780868e-006,0.000000e+000,2,5.338512e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524282763.881,,0.000000e+000,3.499833e+001,1.860911e-006,0.000000e+000,2,5.439675e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524282776.586,,0.000000e+000,3.499989e+001,1.905494e-006,0.000000e+000,2,5.433699e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524282789.434,,0.000000e+000,3.499911e+001,1.976479e-006,0.000000e+000,2,5.544210e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524282801.966,,0.000000e+000,3.499872e+001,2.066889e-006,0.000000e+000,2,5.806583e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524282814.531,,0.000000e+000,3.499950e+001,2.121866e-006,0.000000e+000,2,6.042004e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282827.182,,0.000000e+000,3.499911e+001,2.146900e-006,0.000000e+000,2,5.944588e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282840.674,,0.000000e+000,3.499872e+001,2.191987e-006,0.000000e+000,2,6.163451e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524282853.267,,0.000000e+000,3.499911e+001,2.223920e-006,0.000000e+000,2,6.177879e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524282865.717,,0.000000e+000,3.499950e+001,2.297063e-006,0.000000e+000,2,6.307563e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
