[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524344008.832000 4/21/2018, 2:53:28 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_35K_750s_VRMde_35Klinear.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524344008.830,,0.000000e+000,3.499793e+001,-1.741186e-004,0.000000e+000,2,9.323913e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.252289e-003,0.000000e+000,0,,0,
1524344021.582,,0.000000e+000,3.500028e+001,-1.754233e-004,0.000000e+000,2,9.320393e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524344034.278,,0.000000e+000,3.500028e+001,-1.764142e-004,0.000000e+000,2,9.325179e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524344046.983,,0.000000e+000,3.500067e+001,-1.771783e-004,0.000000e+000,2,9.319734e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344060.638,,0.000000e+000,3.500145e+001,-1.778764e-004,0.000000e+000,2,9.328682e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524344072.753,,0.000000e+000,3.500028e+001,-1.785041e-004,0.000000e+000,2,9.326423e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.120422e-003,0.000000e+000,0,,0,
1524344085.418,,0.000000e+000,3.499832e+001,-1.792196e-004,0.000000e+000,2,9.326163e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.030487e-003,0.000000e+000,0,,0,
1524344098.116,,0.000000e+000,3.499989e+001,-1.796625e-004,0.000000e+000,2,9.324915e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.016998e-002,0.000000e+000,0,,0,
1524344110.841,,0.000000e+000,3.500185e+001,-1.801356e-004,0.000000e+000,2,9.331328e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.259918e-003,0.000000e+000,0,,0,
1524344123.501,,0.000000e+000,3.499911e+001,-1.806817e-004,0.000000e+000,2,9.333348e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344135.994,,0.000000e+000,3.500067e+001,-1.809352e-004,0.000000e+000,2,9.327869e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344148.627,,0.000000e+000,3.499911e+001,-1.812489e-004,0.000000e+000,2,9.329867e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344161.372,,0.000000e+000,3.499833e+001,-1.816365e-004,0.000000e+000,2,9.329797e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524344173.952,,0.000000e+000,3.499989e+001,-1.819501e-004,0.000000e+000,2,9.324788e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
