[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524344734.480000 4/21/2018, 3:05:34 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_35K_750s_VRMde_35Klinear.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524344734.478,,0.000000e+000,3.499676e+001,-7.558127e-006,0.000000e+000,2,9.001343e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344747.283,,0.000000e+000,3.499676e+001,-6.193130e-006,0.000000e+000,2,8.831274e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344760.023,,0.000000e+000,3.499754e+001,-5.105929e-006,0.000000e+000,2,8.383102e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524344772.688,,0.000000e+000,3.499911e+001,-4.316057e-006,0.000000e+000,2,8.101077e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524344785.399,,0.000000e+000,3.500067e+001,-3.661224e-006,0.000000e+000,2,7.792572e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524344798.061,,0.000000e+000,3.499833e+001,-3.064772e-006,0.000000e+000,2,7.334231e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524344810.824,,0.000000e+000,3.499872e+001,-2.571218e-006,0.000000e+000,2,6.825923e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524344823.484,,0.000000e+000,3.499911e+001,-2.109480e-006,0.000000e+000,2,6.201696e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524344836.149,,0.000000e+000,3.499754e+001,-1.734545e-006,0.000000e+000,2,5.184007e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524344848.835,,0.000000e+000,3.500185e+001,-1.395321e-006,0.000000e+000,2,4.398260e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524344861.787,,0.000000e+000,3.499871e+001,-1.089713e-006,0.000000e+000,2,2.601427e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524344874.710,,0.000000e+000,3.499950e+001,-7.938976e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524344887.165,,0.000000e+000,3.499872e+001,-7.080309e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524344899.865,,0.000000e+000,3.499989e+001,-2.412389e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524344912.266,,0.000000e+000,3.499793e+001,-2.011031e-008,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524344924.828,,0.000000e+000,3.500028e+001,1.861372e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.120422e-003,0.000000e+000,0,,0,
1524344937.556,,0.000000e+000,3.499833e+001,3.129427e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524344950.201,,0.000000e+000,3.499794e+001,5.158040e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524344962.879,,0.000000e+000,3.499754e+001,6.758609e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524344975.587,,0.000000e+000,3.499715e+001,8.055347e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.692078e-003,0.000000e+000,0,,0,
1524344988.252,,0.000000e+000,3.499715e+001,9.647672e-007,0.000000e+000,2,1.256599e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524345001.004,,0.000000e+000,3.499911e+001,1.146712e-006,0.000000e+000,2,2.397078e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345013.625,,0.000000e+000,3.500067e+001,1.325760e-006,0.000000e+000,2,3.689259e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.910065e-003,0.000000e+000,0,,0,
1524345026.347,,0.000000e+000,3.499911e+001,1.448657e-006,0.000000e+000,2,4.259867e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345039.002,,0.000000e+000,3.499715e+001,1.564800e-006,0.000000e+000,2,4.629676e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524345051.695,,0.000000e+000,3.499833e+001,1.665100e-006,0.000000e+000,2,4.945087e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524345064.403,,0.000000e+000,3.499911e+001,1.838519e-006,0.000000e+000,2,5.454975e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524345077.278,,0.000000e+000,3.499872e+001,1.903950e-006,0.000000e+000,2,5.634903e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345090.568,,0.000000e+000,3.499833e+001,1.983765e-006,0.000000e+000,2,5.682726e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524345103.258,,0.000000e+000,3.499754e+001,2.129281e-006,0.000000e+000,2,6.128466e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524345115.346,,0.000000e+000,3.499833e+001,2.056010e-006,0.000000e+000,2,5.885973e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524345128.436,,0.000000e+000,3.499911e+001,2.205446e-006,0.000000e+000,2,6.121046e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524345140.924,,0.000000e+000,3.499911e+001,2.341812e-006,0.000000e+000,2,6.518623e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345153.502,,0.000000e+000,3.499911e+001,2.469614e-006,0.000000e+000,2,6.735752e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345166.167,,0.000000e+000,3.499872e+001,2.471071e-006,0.000000e+000,2,6.695001e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524345178.889,,0.000000e+000,3.500067e+001,2.556974e-006,0.000000e+000,2,6.747766e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345191.167,,0.000000e+000,3.499872e+001,2.672407e-006,0.000000e+000,2,6.924449e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524345203.690,,0.000000e+000,3.499872e+001,2.734992e-006,0.000000e+000,2,6.858290e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345216.380,,0.000000e+000,3.499911e+001,2.782945e-006,0.000000e+000,2,6.927752e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345229.068,,0.000000e+000,3.499833e+001,2.857179e-006,0.000000e+000,2,7.040524e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524345241.758,,0.000000e+000,3.499872e+001,2.944124e-006,0.000000e+000,2,7.238556e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345254.211,,0.000000e+000,3.499833e+001,3.004814e-006,0.000000e+000,2,7.141684e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524345267.751,,0.000000e+000,3.499911e+001,3.081552e-006,0.000000e+000,2,7.256830e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524345280.568,,0.000000e+000,3.499950e+001,3.171713e-006,0.000000e+000,2,7.322878e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345293.254,,0.000000e+000,3.499872e+001,3.208297e-006,0.000000e+000,2,7.369524e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345305.934,,0.000000e+000,3.499872e+001,3.244775e-006,0.000000e+000,2,7.360941e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524345318.659,,0.000000e+000,3.499833e+001,3.306134e-006,0.000000e+000,2,7.405017e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524345331.319,,0.000000e+000,3.499794e+001,3.359258e-006,0.000000e+000,2,7.467058e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524345344.019,,0.000000e+000,3.499872e+001,3.372064e-006,0.000000e+000,2,7.562280e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345356.632,,0.000000e+000,3.499872e+001,3.452140e-006,0.000000e+000,2,7.554829e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524345369.402,,0.000000e+000,3.499989e+001,3.485212e-006,0.000000e+000,2,7.624829e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.342224e-003,0.000000e+000,0,,0,
1524345382.092,,0.000000e+000,3.499794e+001,3.525979e-006,0.000000e+000,2,7.664449e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
