[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524322486.883000 4/21/2018, 8:54:46 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_36K_6000s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524322486.881,,0.000000e+000,3.500028e+001,-1.662072e-005,0.000000e+000,2,9.552500e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.120422e-003,0.000000e+000,0,,0,
1524322499.589,,0.000000e+000,3.500067e+001,-1.646756e-005,0.000000e+000,2,9.535825e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322511.629,,0.000000e+000,3.500106e+001,-1.619946e-005,0.000000e+000,2,9.515119e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322524.334,,0.000000e+000,3.500145e+001,-1.593450e-005,0.000000e+000,2,9.534030e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322537.177,,0.000000e+000,3.500145e+001,-1.565683e-005,0.000000e+000,2,9.515712e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322549.939,,0.000000e+000,3.500067e+001,-1.541221e-005,0.000000e+000,2,9.507890e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322562.195,,0.000000e+000,3.500067e+001,-1.515659e-005,0.000000e+000,2,9.502826e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322575.345,,0.000000e+000,3.500067e+001,-1.496124e-005,0.000000e+000,2,9.498956e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322588.070,,0.000000e+000,3.500028e+001,-1.472405e-005,0.000000e+000,2,9.478402e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322600.343,,0.000000e+000,3.499911e+001,-1.451998e-005,0.000000e+000,2,9.463190e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322613.480,,0.000000e+000,3.499911e+001,-1.435073e-005,0.000000e+000,2,9.468089e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322626.221,,0.000000e+000,3.499989e+001,-1.412162e-005,0.000000e+000,2,9.438830e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322638.453,,0.000000e+000,3.500067e+001,-1.394703e-005,0.000000e+000,2,9.448847e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322651.091,,0.000000e+000,3.499989e+001,-1.380880e-005,0.000000e+000,2,9.458608e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322663.864,,0.000000e+000,3.500067e+001,-1.359199e-005,0.000000e+000,2,9.438912e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322676.971,,0.000000e+000,3.499911e+001,-1.340491e-005,0.000000e+000,2,9.418498e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322689.634,,0.000000e+000,3.500028e+001,-1.324916e-005,0.000000e+000,2,9.405610e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322702.284,,0.000000e+000,3.500028e+001,-1.307417e-005,0.000000e+000,2,9.387698e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322714.992,,0.000000e+000,3.499833e+001,-1.295455e-005,0.000000e+000,2,9.385518e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322728.217,,0.000000e+000,3.499989e+001,-1.278252e-005,0.000000e+000,2,9.378709e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322740.597,,0.000000e+000,3.499950e+001,-1.267149e-005,0.000000e+000,2,9.386891e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322753.295,,0.000000e+000,3.499872e+001,-1.250394e-005,0.000000e+000,2,9.376996e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322765.870,,0.000000e+000,3.499833e+001,-1.237036e-005,0.000000e+000,2,9.343314e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322778.565,,0.000000e+000,3.499872e+001,-1.224428e-005,0.000000e+000,2,9.342617e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322791.278,,0.000000e+000,3.499911e+001,-1.212024e-005,0.000000e+000,2,9.344612e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322804.516,,0.000000e+000,3.499872e+001,-1.199120e-005,0.000000e+000,2,9.344710e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322816.641,,0.000000e+000,3.499833e+001,-1.188754e-005,0.000000e+000,2,9.336115e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322829.364,,0.000000e+000,3.499950e+001,-1.178901e-005,0.000000e+000,2,9.327130e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322841.744,,0.000000e+000,3.499911e+001,-1.168075e-005,0.000000e+000,2,9.323702e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524322854.314,,0.000000e+000,3.499950e+001,-1.155527e-005,0.000000e+000,2,9.318331e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322866.859,,0.000000e+000,3.499950e+001,-1.141293e-005,0.000000e+000,2,9.319904e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.120422e-003,0.000000e+000,0,,0,
1524322879.469,,0.000000e+000,3.499833e+001,-1.134477e-005,0.000000e+000,2,9.344306e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322892.494,,0.000000e+000,3.499833e+001,-1.124388e-005,0.000000e+000,2,9.319898e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322905.150,,0.000000e+000,3.499950e+001,-1.116320e-005,0.000000e+000,2,9.290611e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322917.857,,0.000000e+000,3.499950e+001,-1.106926e-005,0.000000e+000,2,9.279677e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322930.597,,0.000000e+000,3.499989e+001,-1.091624e-005,0.000000e+000,2,9.284694e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524322943.038,,0.000000e+000,3.499872e+001,-1.082976e-005,0.000000e+000,2,9.265672e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524322956.340,,0.000000e+000,3.499989e+001,-1.071184e-005,0.000000e+000,2,9.267848e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.342224e-003,0.000000e+000,0,,0,
1524322969.048,,0.000000e+000,3.499872e+001,-1.062684e-005,0.000000e+000,2,9.251613e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322981.793,,0.000000e+000,3.499872e+001,-1.055474e-005,0.000000e+000,2,9.253167e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524322994.503,,0.000000e+000,3.499950e+001,-1.045698e-005,0.000000e+000,2,9.227327e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524323007.049,,0.000000e+000,3.499872e+001,-1.039896e-005,0.000000e+000,2,9.240418e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524323019.761,,0.000000e+000,3.499911e+001,-1.029139e-005,0.000000e+000,2,9.223888e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524323032.477,,0.000000e+000,3.499872e+001,-1.026766e-005,0.000000e+000,2,9.250209e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524323045.182,,0.000000e+000,3.499911e+001,-1.014216e-005,0.000000e+000,2,9.223248e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524323057.912,,0.000000e+000,3.499911e+001,-1.009018e-005,0.000000e+000,2,9.234453e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524323070.602,,0.000000e+000,3.499950e+001,-1.000187e-005,0.000000e+000,2,9.216037e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524323083.322,,0.000000e+000,3.499872e+001,-9.910163e-006,0.000000e+000,2,9.209629e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524323096.027,,0.000000e+000,3.499911e+001,-9.839943e-006,0.000000e+000,2,9.218426e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
