[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524112054.433000 4/18/2018, 10:27:34 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_55K_400s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524112054.433,,0.000000e+000,5.506557e+001,-5.371670e-005,0.000000e+000,3,9.744458e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.109146e-002,0.000000e+000,0,,0,
1524112066.833,,0.000000e+000,5.504843e+001,-5.619060e-005,0.000000e+000,3,9.717118e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524112079.493,,0.000000e+000,5.503592e+001,-5.769712e-005,0.000000e+000,3,9.730572e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184845e-002,0.000000e+000,0,,0,
1524112091.723,,0.000000e+000,5.502802e+001,-5.880854e-005,0.000000e+000,3,9.721402e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.952026e-003,0.000000e+000,0,,0,
1524112104.143,,0.000000e+000,5.502274e+001,-5.953105e-005,0.000000e+000,3,9.732950e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.227753e-003,0.000000e+000,0,,0,
1524112116.613,,0.000000e+000,5.501616e+001,-6.036603e-005,0.000000e+000,3,9.728079e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524112129.063,,0.000000e+000,5.501880e+001,-6.097262e-005,0.000000e+000,3,9.740528e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.208679e-003,0.000000e+000,0,,0,
1524112141.603,,0.000000e+000,5.501353e+001,-6.158900e-005,0.000000e+000,3,9.741450e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.972961e-002,0.000000e+000,0,,0,
1524112154.403,,0.000000e+000,5.501419e+001,-6.202393e-005,0.000000e+000,3,9.731461e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.580048e-002,0.000000e+000,0,,0,
1524112167.023,,0.000000e+000,5.500563e+001,-6.246987e-005,0.000000e+000,3,9.750404e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112179.433,,0.000000e+000,5.500498e+001,-6.278965e-005,0.000000e+000,3,9.724222e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112192.413,,0.000000e+000,5.499905e+001,-6.316254e-005,0.000000e+000,3,9.750783e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
1524112204.723,,0.000000e+000,5.499840e+001,-6.351715e-005,0.000000e+000,3,9.736913e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524112217.533,,0.000000e+000,5.500366e+001,-6.375181e-005,0.000000e+000,3,9.743934e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524112229.993,,0.000000e+000,5.499905e+001,-6.401472e-005,0.000000e+000,3,9.727817e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
1524112242.793,,0.000000e+000,5.499577e+001,-6.431809e-005,0.000000e+000,3,9.737774e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.249023e-003,0.000000e+000,0,,0,
1524112255.173,,0.000000e+000,5.499314e+001,-6.454397e-005,0.000000e+000,3,9.731272e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524112267.973,,0.000000e+000,5.499577e+001,-6.482591e-005,0.000000e+000,3,9.732034e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524112280.363,,0.000000e+000,5.499117e+001,-6.508753e-005,0.000000e+000,3,9.736565e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112293.163,,0.000000e+000,5.499708e+001,-6.518150e-005,0.000000e+000,3,9.736330e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112305.533,,0.000000e+000,5.499906e+001,-6.545573e-005,0.000000e+000,3,9.726434e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524112318.373,,0.000000e+000,5.499708e+001,-6.559098e-005,0.000000e+000,3,9.732818e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112330.763,,0.000000e+000,5.499248e+001,-6.580332e-005,0.000000e+000,3,9.731001e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524112343.573,,0.000000e+000,5.499642e+001,-6.593646e-005,0.000000e+000,3,9.739817e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524112355.973,,0.000000e+000,5.499577e+001,-6.611754e-005,0.000000e+000,3,9.737121e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524112368.823,,0.000000e+000,5.499708e+001,-6.627498e-005,0.000000e+000,3,9.738979e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112381.243,,0.000000e+000,5.499511e+001,-6.646081e-005,0.000000e+000,3,9.729522e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524112394.003,,0.000000e+000,5.500037e+001,-6.654558e-005,0.000000e+000,3,9.740162e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184082e-002,0.000000e+000,0,,0,
