[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524318854.648000 4/21/2018, 7:54:14 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_57K_6000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524318854.648,,0.000000e+000,5.708239e+001,-5.097474e-005,0.000000e+000,2,6.571032e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.545715e-002,0.000000e+000,0,,0,
1524318867.248,,0.000000e+000,5.707607e+001,-5.324537e-005,0.000000e+000,2,6.618226e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.125336e-002,0.000000e+000,0,,0,
1524318879.798,,0.000000e+000,5.706342e+001,-5.465803e-005,0.000000e+000,2,6.596894e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.403809e-002,0.000000e+000,0,,0,
1524318892.118,,0.000000e+000,5.705219e+001,-5.561256e-005,0.000000e+000,2,6.610392e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.430481e-003,0.000000e+000,0,,0,
1524318904.498,,0.000000e+000,5.704726e+001,-5.640091e-005,0.000000e+000,2,6.603321e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.411438e-003,0.000000e+000,0,,0,
1524318916.848,,0.000000e+000,5.703674e+001,-5.719234e-005,0.000000e+000,2,6.626051e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.599976e-003,0.000000e+000,0,,0,
1524318929.328,,0.000000e+000,5.702972e+001,-5.763659e-005,0.000000e+000,2,6.609325e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.799988e-003,0.000000e+000,0,,0,
1524318941.928,,0.000000e+000,5.701920e+001,-5.821526e-005,0.000000e+000,2,6.635320e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.011414e-003,0.000000e+000,0,,0,
1524318954.328,,0.000000e+000,5.702762e+001,-5.856957e-005,0.000000e+000,2,6.619851e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.399994e-003,0.000000e+000,0,,0,
1524318966.978,,0.000000e+000,5.702200e+001,-5.899538e-005,0.000000e+000,2,6.643261e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.392365e-003,0.000000e+000,0,,0,
