[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524545944.477000 4/23/2018, 10:59:04 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_56K_0.32Kmin_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524545944.477,,0.000000e+000,5.499051e+001,4.301352e-006,0.000000e+000,3,7.542512e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524545957.087,,0.000000e+000,5.499051e+001,3.653219e-006,0.000000e+000,3,7.495179e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524545970.127,,0.000000e+000,5.500761e+001,2.995144e-006,0.000000e+000,3,6.712563e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.881165e-003,0.000000e+000,0,,0,
1524545982.267,,0.000000e+000,5.501024e+001,2.693475e-006,0.000000e+000,3,6.723386e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.578140e-002,0.000000e+000,0,,0,
1524545994.717,,0.000000e+000,5.501484e+001,2.340218e-006,0.000000e+000,3,6.211794e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524546007.287,,0.000000e+000,5.500958e+001,2.203896e-006,0.000000e+000,3,6.036074e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524546020.097,,0.000000e+000,5.501155e+001,1.838059e-006,0.000000e+000,3,5.154390e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524546032.287,,0.000000e+000,5.501287e+001,1.783219e-006,0.000000e+000,3,5.084470e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.271912e-003,0.000000e+000,0,,0,
1524546044.787,,0.000000e+000,5.501089e+001,1.752040e-006,0.000000e+000,3,5.510198e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.952026e-003,0.000000e+000,0,,0,
1524546057.047,,0.000000e+000,5.501287e+001,1.626141e-006,0.000000e+000,3,4.834737e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524546069.827,,0.000000e+000,5.501221e+001,1.423205e-006,0.000000e+000,3,4.229384e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.208679e-003,0.000000e+000,0,,0,
1524546082.267,,0.000000e+000,5.500629e+001,1.383121e-006,0.000000e+000,3,3.987850e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524546094.927,,0.000000e+000,5.500300e+001,1.475889e-006,0.000000e+000,3,4.234312e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524546107.568,,0.000000e+000,5.500827e+001,1.307335e-006,0.000000e+000,3,3.968989e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.448059e-002,0.000000e+000,0,,0,
1524546120.108,,0.000000e+000,5.501748e+001,1.404578e-006,0.000000e+000,3,3.111022e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.502060e-002,0.000000e+000,0,,0,
1524546132.228,,0.000000e+000,5.501418e+001,1.348495e-006,0.000000e+000,3,3.749848e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.892609e-003,0.000000e+000,0,,0,
1524546144.988,,0.000000e+000,5.501353e+001,1.383617e-006,0.000000e+000,3,3.055467e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524546157.328,,0.000000e+000,5.501748e+001,1.156367e-006,0.000000e+000,3,2.725716e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524546169.878,,0.000000e+000,5.501551e+001,1.314130e-006,0.000000e+000,3,3.584024e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524546182.228,,0.000000e+000,5.501945e+001,1.116257e-006,0.000000e+000,3,2.071757e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524546194.948,,0.000000e+000,5.501485e+001,4.261092e-007,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524546207.348,,0.000000e+000,5.501353e+001,3.540671e-007,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524546222.098,,0.000000e+000,5.501155e+001,3.857079e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.271912e-003,0.000000e+000,0,,0,
1524546236.650,,0.000000e+000,5.502077e+001,2.453807e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524546250.422,,0.000000e+000,5.501748e+001,2.274104e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524546264.494,,0.000000e+000,5.502077e+001,2.301604e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524546277.404,,0.000000e+000,5.501155e+001,-1.979809e-006,0.000000e+000,3,7.896381e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.271912e-003,0.000000e+000,0,,0,
1524546290.254,,0.000000e+000,5.501484e+001,-1.947884e-006,0.000000e+000,3,8.058950e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524546304.886,,0.000000e+000,5.501221e+001,2.085681e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.952026e-003,0.000000e+000,0,,0,
1524546317.136,,0.000000e+000,5.501550e+001,-1.912917e-006,0.000000e+000,3,7.832068e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524546331.308,,0.000000e+000,5.502077e+001,4.319219e-008,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316833e-002,0.000000e+000,0,,0,
1524546345.120,,0.000000e+000,5.502406e+001,-1.012711e-008,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
