[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524639209.627000 4/25/2018, 12:53:29 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_58K_0.32Kmin_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524639209.627,,0.000000e+000,5.499643e+001,7.031198e-006,0.000000e+000,3,7.900227e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.708984e-002,0.000000e+000,0,,0,
1524639222.607,,0.000000e+000,5.500169e+001,6.385409e-006,0.000000e+000,3,7.689081e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524639235.487,,0.000000e+000,5.500629e+001,5.643396e-006,0.000000e+000,3,7.674920e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.249023e-003,0.000000e+000,0,,0,
1524639247.747,,0.000000e+000,5.500958e+001,5.249594e-006,0.000000e+000,3,7.642401e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524639260.297,,0.000000e+000,5.500958e+001,5.018332e-006,0.000000e+000,3,7.662408e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524639273.197,,0.000000e+000,5.501353e+001,4.675954e-006,0.000000e+000,3,7.578945e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.212494e-003,0.000000e+000,0,,0,
1524639285.557,,0.000000e+000,5.501418e+001,4.404751e-006,0.000000e+000,3,7.473528e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.892609e-003,0.000000e+000,0,,0,
1524639298.017,,0.000000e+000,5.500498e+001,4.196441e-006,0.000000e+000,3,7.372249e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524639310.697,,0.000000e+000,5.500695e+001,3.985764e-006,0.000000e+000,3,7.333620e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524639323.217,,0.000000e+000,5.500892e+001,3.738711e-006,0.000000e+000,3,7.325041e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524639335.757,,0.000000e+000,5.500235e+001,3.638379e-006,0.000000e+000,3,7.174729e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.840973e-002,0.000000e+000,0,,0,
1524639348.427,,0.000000e+000,5.499841e+001,3.465877e-006,0.000000e+000,3,7.128311e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524639360.947,,0.000000e+000,5.500037e+001,3.391520e-006,0.000000e+000,3,7.063273e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.587982e-003,0.000000e+000,0,,0,
1524639373.617,,0.000000e+000,5.500301e+001,3.223393e-006,0.000000e+000,3,7.065759e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
