[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524208739.938000 4/20/2018, 1:18:59 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_53K_6000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524208739.938,,0.000000e+000,5.322804e+001,-1.636835e-005,0.000000e+000,3,9.623227e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.429893e-001,0.000000e+000,0,,0,
1524208752.358,,0.000000e+000,5.391673e+001,-1.475289e-005,0.000000e+000,3,9.562346e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.465706e-001,0.000000e+000,0,,0,
1524208765.178,,0.000000e+000,5.451353e+001,-1.295885e-005,0.000000e+000,3,9.615313e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.415413e-001,0.000000e+000,0,,0,
1524208779.698,,0.000000e+000,5.486079e+001,-1.150275e-005,0.000000e+000,3,9.620615e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.278824e-001,0.000000e+000,0,,0,
1524208792.588,,0.000000e+000,5.503132e+001,-1.039148e-005,0.000000e+000,3,9.493955e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.794144e-002,0.000000e+000,0,,0,
1524208805.278,,0.000000e+000,5.507743e+001,-9.390484e-006,0.000000e+000,3,9.542139e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.911682e-003,0.000000e+000,0,,0,
1524208817.498,,0.000000e+000,5.508139e+001,-8.726598e-006,0.000000e+000,3,9.440012e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524208830.638,,0.000000e+000,5.506952e+001,-7.947545e-006,0.000000e+000,3,9.588686e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.271912e-003,0.000000e+000,0,,0,
1524208843.118,,0.000000e+000,5.505173e+001,-7.507729e-006,0.000000e+000,3,9.556400e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.450729e-002,0.000000e+000,0,,0,
1524208855.258,,0.000000e+000,5.504382e+001,-7.024464e-006,0.000000e+000,3,9.438289e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.503967e-002,0.000000e+000,0,,0,
1524208867.818,,0.000000e+000,5.503065e+001,-6.702945e-006,0.000000e+000,3,9.447135e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524208879.728,,0.000000e+000,5.502604e+001,-6.265166e-006,0.000000e+000,3,9.379457e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524208892.278,,0.000000e+000,5.501485e+001,-6.020838e-006,0.000000e+000,3,9.326947e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.448059e-002,0.000000e+000,0,,0,
1524208905.098,,0.000000e+000,5.500761e+001,-5.684989e-006,0.000000e+000,3,9.272122e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524208918.038,,0.000000e+000,5.500893e+001,-5.306044e-006,0.000000e+000,3,9.349183e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524208930.568,,0.000000e+000,5.500365e+001,-5.234038e-006,0.000000e+000,3,9.361951e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
