[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524088867.568000 4/18/2018, 4:01:07 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_55K_1500s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524088867.568,,0.000000e+000,5.507479e+001,-5.359620e-005,0.000000e+000,3,9.752395e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.108765e-002,0.000000e+000,0,,0,
1524088880.328,,0.000000e+000,5.505700e+001,-5.615535e-005,0.000000e+000,3,9.715473e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.449966e-002,0.000000e+000,0,,0,
1524088893.368,,0.000000e+000,5.504448e+001,-5.778060e-005,0.000000e+000,3,9.727350e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.055145e-002,0.000000e+000,0,,0,
1524088905.958,,0.000000e+000,5.502998e+001,-5.900070e-005,0.000000e+000,3,9.722348e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.842880e-002,0.000000e+000,0,,0,
1524088919.208,,0.000000e+000,5.502933e+001,-5.982166e-005,0.000000e+000,3,9.726865e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524088931.588,,0.000000e+000,5.501813e+001,-6.061452e-005,0.000000e+000,3,9.723514e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524088944.278,,0.000000e+000,5.501945e+001,-6.126273e-005,0.000000e+000,3,9.729142e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.107239e-002,0.000000e+000,0,,0,
1524088956.648,,0.000000e+000,5.500826e+001,-6.178828e-005,0.000000e+000,3,9.722028e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524088969.428,,0.000000e+000,5.500498e+001,-6.221916e-005,0.000000e+000,3,9.738913e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524088981.828,,0.000000e+000,5.500498e+001,-6.266862e-005,0.000000e+000,3,9.720929e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
