[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524112419.773000 4/18/2018, 10:33:39 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_55K_400s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524112419.773,,0.000000e+000,5.500235e+001,-7.214292e-006,0.000000e+000,3,9.505194e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524112432.393,,0.000000e+000,5.499445e+001,-5.757196e-006,0.000000e+000,3,9.411643e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.314926e-002,0.000000e+000,0,,0,
1524112445.123,,0.000000e+000,5.499840e+001,-4.621893e-006,0.000000e+000,3,9.252331e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.578140e-002,0.000000e+000,0,,0,
1524112458.263,,0.000000e+000,5.500169e+001,-4.001884e-006,0.000000e+000,3,9.182958e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.208679e-003,0.000000e+000,0,,0,
1524112470.573,,0.000000e+000,5.499972e+001,-3.457736e-006,0.000000e+000,3,8.969959e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524112483.403,,0.000000e+000,5.499709e+001,-3.001166e-006,0.000000e+000,3,8.825241e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524112495.523,,0.000000e+000,5.499380e+001,-2.720485e-006,0.000000e+000,3,8.553039e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
1524112508.133,,0.000000e+000,5.499972e+001,-2.592514e-006,0.000000e+000,3,8.534292e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524112522.743,,0.000000e+000,5.499840e+001,-8.010346e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524112547.213,,0.000000e+000,5.499117e+001,2.288968e-006,0.000000e+000,3,6.076084e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
1524112560.013,,0.000000e+000,5.500169e+001,2.166448e-006,0.000000e+000,3,6.172500e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112572.563,,0.000000e+000,5.499708e+001,-2.473245e-006,0.000000e+000,3,7.345592e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112587.285,,0.000000e+000,5.499840e+001,3.919157e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524112601.667,,0.000000e+000,5.500037e+001,5.901148e-007,0.000000e+000,2,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112614.437,,0.000000e+000,5.499643e+001,2.159056e-006,0.000000e+000,3,7.040755e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112626.787,,0.000000e+000,5.499708e+001,2.264167e-006,0.000000e+000,3,6.965655e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112639.467,,0.000000e+000,5.499709e+001,2.128019e-006,0.000000e+000,3,7.155657e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524112651.927,,0.000000e+000,5.499313e+001,2.261577e-006,0.000000e+000,3,7.188958e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524112664.687,,0.000000e+000,5.499972e+001,2.256277e-006,0.000000e+000,3,7.559476e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524112676.907,,0.000000e+000,5.500037e+001,2.337144e-006,0.000000e+000,3,7.472383e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112689.347,,0.000000e+000,5.500432e+001,2.290199e-006,0.000000e+000,3,8.050520e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524112701.937,,0.000000e+000,5.500826e+001,2.446090e-006,0.000000e+000,3,7.562609e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524112714.538,,0.000000e+000,5.500103e+001,2.463617e-006,0.000000e+000,3,7.813245e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524112726.998,,0.000000e+000,5.499708e+001,2.617758e-006,0.000000e+000,3,7.728347e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112739.698,,0.000000e+000,5.499577e+001,2.464475e-006,0.000000e+000,3,7.936248e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.249023e-003,0.000000e+000,0,,0,
1524112752.148,,0.000000e+000,5.499511e+001,2.640392e-006,0.000000e+000,3,7.819912e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112764.918,,0.000000e+000,5.499971e+001,2.598683e-006,0.000000e+000,3,8.157667e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524112777.378,,0.000000e+000,5.499708e+001,2.724675e-006,0.000000e+000,3,7.955500e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112790.138,,0.000000e+000,5.500037e+001,2.653146e-006,0.000000e+000,3,8.236385e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.587982e-003,0.000000e+000,0,,0,
1524112802.638,,0.000000e+000,5.499905e+001,2.796146e-006,0.000000e+000,3,8.028356e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524112815.348,,0.000000e+000,5.499643e+001,2.830224e-006,0.000000e+000,3,8.260317e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112828.008,,0.000000e+000,5.499773e+001,2.910333e-006,0.000000e+000,3,8.458449e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524112840.498,,0.000000e+000,5.500366e+001,2.869152e-006,0.000000e+000,3,8.413444e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524112852.788,,0.000000e+000,5.499840e+001,2.966381e-006,0.000000e+000,3,8.482330e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524112865.278,,0.000000e+000,5.499051e+001,2.869904e-006,0.000000e+000,3,8.382663e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524112877.478,,0.000000e+000,5.499445e+001,2.971572e-006,0.000000e+000,3,8.259311e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524112890.188,,0.000000e+000,5.499643e+001,2.954048e-006,0.000000e+000,3,8.367121e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112903.228,,0.000000e+000,5.499708e+001,3.033542e-006,0.000000e+000,3,8.601893e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524112915.728,,0.000000e+000,5.499643e+001,3.074187e-006,0.000000e+000,3,8.444894e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112928.278,,0.000000e+000,5.499643e+001,3.015922e-006,0.000000e+000,3,8.541295e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524112940.658,,0.000000e+000,5.500235e+001,3.153418e-006,0.000000e+000,3,8.430198e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524112953.498,,0.000000e+000,5.500498e+001,3.100216e-006,0.000000e+000,3,8.752405e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524112966.308,,0.000000e+000,5.500037e+001,3.162237e-006,0.000000e+000,3,8.433715e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524112979.168,,0.000000e+000,5.499905e+001,3.184997e-006,0.000000e+000,3,8.718426e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
1524112992.018,,0.000000e+000,5.499971e+001,3.278870e-006,0.000000e+000,3,8.659851e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524113004.398,,0.000000e+000,5.499643e+001,3.209901e-006,0.000000e+000,3,8.843613e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184082e-002,0.000000e+000,0,,0,
1524113017.128,,0.000000e+000,5.500103e+001,3.314107e-006,0.000000e+000,3,8.694356e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524113029.698,,0.000000e+000,5.499773e+001,3.265874e-006,0.000000e+000,3,8.697916e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524113042.318,,0.000000e+000,5.499577e+001,3.301794e-006,0.000000e+000,3,8.730067e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524113054.708,,0.000000e+000,5.499774e+001,3.322036e-006,0.000000e+000,3,8.777813e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524113067.548,,0.000000e+000,5.500037e+001,3.376317e-006,0.000000e+000,3,8.717648e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113080.108,,0.000000e+000,5.499971e+001,3.338172e-006,0.000000e+000,3,8.812620e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524113093.218,,0.000000e+000,5.499906e+001,3.315683e-006,0.000000e+000,3,8.811048e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.220123e-003,0.000000e+000,0,,0,
1524113105.298,,0.000000e+000,5.499445e+001,3.421444e-006,0.000000e+000,3,8.767371e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524113117.938,,0.000000e+000,5.499577e+001,3.384355e-006,0.000000e+000,3,8.723697e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524113130.558,,0.000000e+000,5.499840e+001,3.393827e-006,0.000000e+000,3,8.640752e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113143.138,,0.000000e+000,5.499643e+001,3.426196e-006,0.000000e+000,3,8.884816e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524113155.708,,0.000000e+000,5.499643e+001,3.397556e-006,0.000000e+000,3,8.736199e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524113168.808,,0.000000e+000,5.499643e+001,3.435216e-006,0.000000e+000,3,8.853109e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524113180.618,,0.000000e+000,5.499774e+001,3.533162e-006,0.000000e+000,3,8.981777e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524113193.168,,0.000000e+000,5.499905e+001,3.509074e-006,0.000000e+000,3,8.864165e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113205.488,,0.000000e+000,5.499905e+001,3.521315e-006,0.000000e+000,3,8.896896e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113217.968,,0.000000e+000,5.499445e+001,3.615339e-006,0.000000e+000,3,8.927525e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113230.758,,0.000000e+000,5.499511e+001,3.578699e-006,0.000000e+000,3,8.799540e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524113243.518,,0.000000e+000,5.499511e+001,3.584869e-006,0.000000e+000,3,8.891384e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524113256.198,,0.000000e+000,5.499773e+001,3.672081e-006,0.000000e+000,3,8.846424e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524113269.498,,0.000000e+000,5.499313e+001,3.610490e-006,0.000000e+000,3,8.802680e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.050949e-002,0.000000e+000,0,,0,
1524113281.998,,0.000000e+000,5.499313e+001,3.679236e-006,0.000000e+000,3,8.926910e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.050949e-002,0.000000e+000,0,,0,
1524113294.358,,0.000000e+000,5.499971e+001,3.650673e-006,0.000000e+000,3,8.908091e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524113306.868,,0.000000e+000,5.499643e+001,3.673688e-006,0.000000e+000,3,8.912092e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524113319.958,,0.000000e+000,5.499445e+001,3.680825e-006,0.000000e+000,3,8.808194e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113333.228,,0.000000e+000,5.500432e+001,3.639798e-006,0.000000e+000,3,8.890465e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.300812e-003,0.000000e+000,0,,0,
1524113345.738,,0.000000e+000,5.499840e+001,3.787439e-006,0.000000e+000,3,9.002161e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113358.448,,0.000000e+000,5.499774e+001,3.674626e-006,0.000000e+000,3,9.017937e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524113370.988,,0.000000e+000,5.499840e+001,3.723334e-006,0.000000e+000,3,8.926702e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524113383.138,,0.000000e+000,5.499971e+001,3.686078e-006,0.000000e+000,3,8.918712e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524113395.648,,0.000000e+000,5.499774e+001,3.715587e-006,0.000000e+000,3,8.932431e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524113408.708,,0.000000e+000,5.499709e+001,3.779414e-006,0.000000e+000,3,8.918472e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.888794e-003,0.000000e+000,0,,0,
1524113421.389,,0.000000e+000,5.499709e+001,3.743071e-006,0.000000e+000,3,8.933032e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316071e-002,0.000000e+000,0,,0,
1524113433.669,,0.000000e+000,5.499511e+001,3.801112e-006,0.000000e+000,3,8.782381e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113446.669,,0.000000e+000,5.499774e+001,3.781277e-006,0.000000e+000,3,8.948770e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524113459.029,,0.000000e+000,5.499773e+001,3.825775e-006,0.000000e+000,3,8.865238e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524113471.689,,0.000000e+000,5.499708e+001,3.805008e-006,0.000000e+000,3,8.955746e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524113484.079,,0.000000e+000,5.499511e+001,3.816470e-006,0.000000e+000,3,8.807152e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113496.939,,0.000000e+000,5.499577e+001,3.833498e-006,0.000000e+000,3,8.992813e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524113509.279,,0.000000e+000,5.499773e+001,3.842487e-006,0.000000e+000,3,8.855045e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524113522.099,,0.000000e+000,5.499905e+001,3.885514e-006,0.000000e+000,3,9.002708e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.182938e-002,0.000000e+000,0,,0,
1524113534.589,,0.000000e+000,5.499708e+001,3.905634e-006,0.000000e+000,3,8.830379e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524113547.339,,0.000000e+000,5.499511e+001,3.834454e-006,0.000000e+000,3,8.983156e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113559.729,,0.000000e+000,5.499577e+001,3.876280e-006,0.000000e+000,3,8.837205e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524113572.529,,0.000000e+000,5.499905e+001,3.837860e-006,0.000000e+000,3,9.022443e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113584.949,,0.000000e+000,5.499774e+001,3.838596e-006,0.000000e+000,3,8.850953e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524113597.759,,0.000000e+000,5.500037e+001,3.898733e-006,0.000000e+000,3,9.009375e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.587982e-003,0.000000e+000,0,,0,
1524113609.959,,0.000000e+000,5.500301e+001,3.968711e-006,0.000000e+000,3,8.858936e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.446915e-002,0.000000e+000,0,,0,
1524113622.869,,0.000000e+000,5.499971e+001,3.889647e-006,0.000000e+000,3,9.062389e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524113635.379,,0.000000e+000,5.499839e+001,3.923317e-006,0.000000e+000,3,8.905481e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524113648.139,,0.000000e+000,5.499905e+001,3.893373e-006,0.000000e+000,3,9.047893e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524113660.779,,0.000000e+000,5.500103e+001,3.969793e-006,0.000000e+000,3,9.210355e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524113673.499,,0.000000e+000,5.499445e+001,3.888266e-006,0.000000e+000,3,9.066479e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113686.579,,0.000000e+000,5.499380e+001,3.851712e-006,0.000000e+000,3,9.114252e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524113698.679,,0.000000e+000,5.499314e+001,3.899087e-006,0.000000e+000,3,9.024299e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524113711.309,,0.000000e+000,5.499445e+001,3.839396e-006,0.000000e+000,3,9.062023e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524113723.879,,0.000000e+000,5.499445e+001,3.839620e-006,0.000000e+000,3,9.000334e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.881165e-003,0.000000e+000,0,,0,
1524113736.509,,0.000000e+000,5.499379e+001,3.908931e-006,0.000000e+000,3,9.106806e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.201050e-003,0.000000e+000,0,,0,
1524113749.099,,0.000000e+000,5.499511e+001,3.849023e-006,0.000000e+000,3,8.969458e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
