[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524145026.515000 4/19/2018, 7:37:06 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_57K_12000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524145026.515,,0.000000e+000,5.708520e+001,-5.568166e-005,0.000000e+000,3,9.750847e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.546097e-002,0.000000e+000,0,,0,
1524145039.075,,0.000000e+000,5.706132e+001,-5.816526e-005,0.000000e+000,3,9.725426e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.030487e-003,0.000000e+000,0,,0,
1524145051.915,,0.000000e+000,5.705008e+001,-5.981255e-005,0.000000e+000,3,9.731022e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.544952e-002,0.000000e+000,0,,0,
1524145064.825,,0.000000e+000,5.704095e+001,-6.085266e-005,0.000000e+000,3,9.716746e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.811432e-003,0.000000e+000,0,,0,
1524145078.115,,0.000000e+000,5.702551e+001,-6.178757e-005,0.000000e+000,3,9.733846e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.811432e-003,0.000000e+000,0,,0,
1524145115.125,,0.000000e+000,5.701009e+001,-6.361022e-005,0.000000e+000,3,9.726987e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.683044e-002,0.000000e+000,0,,0,
1524145128.545,,0.000000e+000,5.700446e+001,-6.413558e-005,0.000000e+000,3,9.735725e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.811432e-003,0.000000e+000,0,,0,
1524145153.395,,0.000000e+000,5.700307e+001,9.841759e-006,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.799988e-003,0.000000e+000,0,,0,
1524145178.095,,0.000000e+000,5.700307e+001,-6.563943e-005,0.000000e+000,3,9.724020e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.799988e-003,0.000000e+000,0,,0,
1524145190.695,,0.000000e+000,5.700097e+001,-6.588375e-005,0.000000e+000,3,9.722765e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.411438e-003,0.000000e+000,0,,0,
