[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524301677.964000 4/21/2018, 3:07:57 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_54K_3000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524301677.964,,0.000000e+000,5.413065e+001,-1.399533e-005,0.000000e+000,2,9.119149e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.493477e-001,0.000000e+000,0,,0,
1524301691.104,,0.000000e+000,5.452906e+001,-1.245767e-005,0.000000e+000,2,9.009285e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.365097e-001,0.000000e+000,0,,0,
1524301705.484,,0.000000e+000,5.485226e+001,-1.068757e-005,0.000000e+000,2,8.765467e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.160301e-001,0.000000e+000,0,,0,
1524301718.264,,0.000000e+000,5.501355e+001,-9.598627e-006,0.000000e+000,2,8.448578e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.449127e-002,0.000000e+000,0,,0,
1524301730.874,,0.000000e+000,5.504974e+001,-8.721885e-006,0.000000e+000,2,8.430586e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.907867e-003,0.000000e+000,0,,0,
1524301744.074,,0.000000e+000,5.505964e+001,-7.910706e-006,0.000000e+000,2,8.039677e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524301756.924,,0.000000e+000,5.505238e+001,-7.202552e-006,0.000000e+000,2,7.965863e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.907867e-003,0.000000e+000,0,,0,
1524301769.694,,0.000000e+000,5.504053e+001,-6.804939e-006,0.000000e+000,2,7.854204e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524301781.884,,0.000000e+000,5.502274e+001,-6.343012e-006,0.000000e+000,2,7.637421e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.238846e-002,0.000000e+000,0,,0,
1524301794.414,,0.000000e+000,5.501814e+001,-5.986975e-006,0.000000e+000,2,7.511311e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524301806.744,,0.000000e+000,5.502077e+001,-5.525822e-006,0.000000e+000,2,7.179840e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524301819.814,,0.000000e+000,5.500761e+001,-5.239766e-006,0.000000e+000,2,7.182513e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524301832.034,,0.000000e+000,5.500893e+001,-4.923241e-006,0.000000e+000,2,6.728645e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524301844.424,,0.000000e+000,5.500366e+001,-4.692875e-006,0.000000e+000,2,6.824005e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524301856.924,,0.000000e+000,5.499709e+001,-4.413058e-006,0.000000e+000,2,6.341416e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524301869.484,,0.000000e+000,5.499511e+001,-4.142963e-006,0.000000e+000,2,6.381999e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
1524301882.024,,0.000000e+000,5.499839e+001,-3.989734e-006,0.000000e+000,2,6.168710e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524301894.764,,0.000000e+000,5.499971e+001,-3.756576e-006,0.000000e+000,2,5.912585e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524301907.554,,0.000000e+000,5.500103e+001,-3.668078e-006,0.000000e+000,2,5.828945e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524301919.914,,0.000000e+000,5.499709e+001,-3.356715e-006,0.000000e+000,2,5.411398e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.888794e-003,0.000000e+000,0,,0,
1524301932.134,,0.000000e+000,5.499577e+001,-3.194765e-006,0.000000e+000,2,5.089676e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.249023e-003,0.000000e+000,0,,0,
1524301944.824,,0.000000e+000,5.499577e+001,-3.110803e-006,0.000000e+000,2,5.000885e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.888794e-003,0.000000e+000,0,,0,
1524301957.974,,0.000000e+000,5.499380e+001,-2.953460e-006,0.000000e+000,2,4.668666e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524301970.545,,0.000000e+000,5.500103e+001,-2.731984e-006,0.000000e+000,2,3.892404e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.888794e-003,0.000000e+000,0,,0,
1524301983.335,,0.000000e+000,5.499905e+001,-2.616008e-006,0.000000e+000,2,4.014444e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.182938e-002,0.000000e+000,0,,0,
1524301995.855,,0.000000e+000,5.499511e+001,-2.446461e-006,0.000000e+000,2,3.495314e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524302008.545,,0.000000e+000,5.499840e+001,-2.421493e-006,0.000000e+000,2,3.566768e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524302021.085,,0.000000e+000,5.499774e+001,-2.257890e-006,0.000000e+000,2,3.089615e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524302033.735,,0.000000e+000,5.499905e+001,-2.174405e-006,0.000000e+000,2,2.958419e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524302046.275,,0.000000e+000,5.500300e+001,-2.049273e-006,0.000000e+000,2,2.176164e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.220123e-003,0.000000e+000,0,,0,
