[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524362099.791000 4/21/2018, 7:54:59 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_55K_12000s_VRMde_55Klinear.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524362099.791,,0.000000e+000,5.500037e+001,-2.028751e-005,0.000000e+000,2,9.405857e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.587982e-003,0.000000e+000,0,,0,
1524362112.431,,0.000000e+000,5.499708e+001,-1.855105e-005,0.000000e+000,2,9.324688e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524362125.091,,0.000000e+000,5.499971e+001,-1.727363e-005,0.000000e+000,2,9.202162e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524362137.621,,0.000000e+000,5.499577e+001,-1.628055e-005,0.000000e+000,2,9.199158e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524362149.741,,0.000000e+000,5.500235e+001,-1.552077e-005,0.000000e+000,2,9.074493e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524362162.311,,0.000000e+000,5.499971e+001,-1.490060e-005,0.000000e+000,2,9.099037e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524362175.011,,0.000000e+000,5.499774e+001,-1.433618e-005,0.000000e+000,2,9.041174e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524362187.521,,0.000000e+000,5.500103e+001,-1.386334e-005,0.000000e+000,2,9.068826e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524362200.181,,0.000000e+000,5.500037e+001,-1.345127e-005,0.000000e+000,2,8.987309e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.446915e-002,0.000000e+000,0,,0,
1524362212.911,,0.000000e+000,5.499905e+001,-1.307394e-005,0.000000e+000,2,8.989527e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.948212e-003,0.000000e+000,0,,0,
1524362226.051,,0.000000e+000,5.499971e+001,-1.278233e-005,0.000000e+000,2,8.915778e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524362238.361,,0.000000e+000,5.500168e+001,-1.227102e-005,0.000000e+000,2,8.928656e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524362251.421,,0.000000e+000,5.500168e+001,-1.210285e-005,0.000000e+000,2,8.909172e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524362263.961,,0.000000e+000,5.500234e+001,-1.189753e-005,0.000000e+000,2,8.906734e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524362276.641,,0.000000e+000,5.500366e+001,-1.164109e-005,0.000000e+000,2,8.870851e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524362289.211,,0.000000e+000,5.500103e+001,-1.133776e-005,0.000000e+000,2,8.764110e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524362301.651,,0.000000e+000,5.500169e+001,-1.119188e-005,0.000000e+000,2,8.840172e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524362314.321,,0.000000e+000,5.500235e+001,-1.088180e-005,0.000000e+000,2,8.696173e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
