[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524340039.556000 4/21/2018, 1:47:19 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_55K_750s_VRMde_55Klinear.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524340039.556,,0.000000e+000,5.521356e+001,-4.890041e-005,0.000000e+000,2,6.621866e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.324844e-002,0.000000e+000,0,,0,
1524340051.916,,0.000000e+000,5.524207e+001,-5.128163e-005,0.000000e+000,2,6.625211e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.783966e-002,0.000000e+000,0,,0,
1524340064.466,,0.000000e+000,5.526859e+001,-5.268769e-005,0.000000e+000,2,6.650028e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.521133e-002,0.000000e+000,0,,0,
1524340921.467,,0.000000e+000,5.526263e+001,-6.436133e-005,0.000000e+000,2,6.829207e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.856995e-002,0.000000e+000,0,,0,
1524340933.867,,0.000000e+000,5.524538e+001,-6.448373e-005,0.000000e+000,2,6.799873e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.592255e-002,0.000000e+000,0,,0,
1524340946.287,,0.000000e+000,5.523544e+001,-6.460709e-005,0.000000e+000,2,6.796336e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.629944e-003,0.000000e+000,0,,0,
1524340959.417,,0.000000e+000,5.522218e+001,-6.471932e-005,0.000000e+000,2,6.798896e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.331329e-003,0.000000e+000,0,,0,
1524340972.117,,0.000000e+000,5.521358e+001,-6.483152e-005,0.000000e+000,2,6.787052e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.855087e-002,0.000000e+000,0,,0,
1524340984.497,,0.000000e+000,5.520165e+001,-6.488727e-005,0.000000e+000,2,6.786494e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.290985e-003,0.000000e+000,0,,0,
1524340996.837,,0.000000e+000,5.519437e+001,-6.497633e-005,0.000000e+000,2,6.779393e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.610870e-003,0.000000e+000,0,,0,
1524341009.727,,0.000000e+000,5.518179e+001,-6.499668e-005,0.000000e+000,2,6.788172e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.930756e-003,0.000000e+000,0,,0,
1524341022.207,,0.000000e+000,5.517584e+001,-6.509281e-005,0.000000e+000,2,6.783370e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.971100e-003,0.000000e+000,0,,0,
1524341034.357,,0.000000e+000,5.517187e+001,-6.510482e-005,0.000000e+000,2,6.794743e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.978729e-003,0.000000e+000,0,,0,
1524341046.807,,0.000000e+000,5.515997e+001,-6.527340e-005,0.000000e+000,2,6.784647e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524341059.137,,0.000000e+000,5.515137e+001,-6.531627e-005,0.000000e+000,2,6.798963e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.926941e-003,0.000000e+000,0,,0,
1524341071.287,,0.000000e+000,5.514345e+001,-6.536909e-005,0.000000e+000,2,6.781846e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.651215e-003,0.000000e+000,0,,0,
1524341083.847,,0.000000e+000,5.513551e+001,-6.538798e-005,0.000000e+000,2,6.791441e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.302429e-003,0.000000e+000,0,,0,
1524341096.137,,0.000000e+000,5.512560e+001,-6.544281e-005,0.000000e+000,2,6.777657e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.610870e-003,0.000000e+000,0,,0,
1524341108.817,,0.000000e+000,5.511636e+001,-6.553812e-005,0.000000e+000,2,6.788776e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524341121.227,,0.000000e+000,5.511174e+001,-6.557009e-005,0.000000e+000,2,6.787844e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.055908e-002,0.000000e+000,0,,0,
1524341133.847,,0.000000e+000,5.509853e+001,-6.561732e-005,0.000000e+000,2,6.798132e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524341146.307,,0.000000e+000,5.509127e+001,-6.568678e-005,0.000000e+000,2,6.798741e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.231567e-003,0.000000e+000,0,,0,
1524341159.047,,0.000000e+000,5.507875e+001,-6.574416e-005,0.000000e+000,2,6.807446e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524341171.467,,0.000000e+000,5.506689e+001,-6.573698e-005,0.000000e+000,2,6.793834e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524341184.267,,0.000000e+000,5.506425e+001,-6.581219e-005,0.000000e+000,2,6.810142e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524341196.827,,0.000000e+000,5.505700e+001,-6.594323e-005,0.000000e+000,2,6.804168e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.449966e-002,0.000000e+000,0,,0,
1524341209.807,,0.000000e+000,5.504711e+001,-6.594870e-005,0.000000e+000,2,6.812997e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
