[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524677481.007000 4/25/2018, 11:31:21 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_37.5K_0.04Kmin_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524677481.007,,0.000000e+000,3.499364e+001,-2.386414e-005,0.000000e+000,3,9.743761e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524677493.727,,0.000000e+000,3.499207e+001,-2.162676e-005,0.000000e+000,3,9.686883e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.910065e-003,0.000000e+000,0,,0,
1524677506.583,,0.000000e+000,3.499129e+001,-2.033988e-005,0.000000e+000,3,9.668294e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1524677518.775,,0.000000e+000,3.499363e+001,-1.921320e-005,0.000000e+000,3,9.620818e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524677531.440,,0.000000e+000,3.499403e+001,-1.834587e-005,0.000000e+000,3,9.619462e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524677544.116,,0.000000e+000,3.499480e+001,-1.758271e-005,0.000000e+000,3,9.601552e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524677557.176,,0.000000e+000,3.499754e+001,-1.695775e-005,0.000000e+000,3,9.585713e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524677569.251,,0.000000e+000,3.499715e+001,-1.645450e-005,0.000000e+000,3,9.562783e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.571655e-003,0.000000e+000,0,,0,
1524677581.969,,0.000000e+000,3.500263e+001,-1.591919e-005,0.000000e+000,3,9.550220e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.699707e-003,0.000000e+000,0,,0,
1524677594.649,,0.000000e+000,3.500849e+001,-1.549098e-005,0.000000e+000,3,9.544840e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524677607.337,,0.000000e+000,3.500654e+001,-1.512420e-005,0.000000e+000,3,9.533713e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524677620.284,,0.000000e+000,3.500458e+001,-1.472880e-005,0.000000e+000,3,9.522302e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.481720e-003,0.000000e+000,0,,0,
1524677632.964,,0.000000e+000,3.500224e+001,-1.436273e-005,0.000000e+000,3,9.545677e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524677658.282,,0.000000e+000,3.499989e+001,-1.372744e-005,0.000000e+000,3,9.473830e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524677670.927,,0.000000e+000,3.499833e+001,-1.345164e-005,0.000000e+000,3,9.468371e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
