[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524583698.413000 4/24/2018, 9:28:18 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_37K_0.32Kmin_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524583698.410,,0.000000e+000,3.504767e+001,-5.952278e-006,0.000000e+000,3,8.864698e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.361298e-003,0.000000e+000,0,,0,
1524583711.068,,0.000000e+000,3.504179e+001,-5.065662e-006,0.000000e+000,3,8.730431e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.131866e-003,0.000000e+000,0,,0,
1524583723.665,,0.000000e+000,3.503983e+001,-4.265429e-006,0.000000e+000,3,8.343602e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524583736.293,,0.000000e+000,3.503944e+001,-3.671919e-006,0.000000e+000,3,8.005955e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524583748.776,,0.000000e+000,3.503786e+001,-2.939863e-006,0.000000e+000,3,7.533646e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524583761.231,,0.000000e+000,3.503708e+001,-2.745199e-006,0.000000e+000,3,7.530149e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524583773.541,,0.000000e+000,3.503551e+001,-2.130271e-006,0.000000e+000,3,6.637304e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.571655e-003,0.000000e+000,0,,0,
1524583786.121,,0.000000e+000,3.503355e+001,-1.881834e-006,0.000000e+000,3,5.967778e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524583798.672,,0.000000e+000,3.503120e+001,-1.621063e-006,0.000000e+000,3,5.499333e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524583811.317,,0.000000e+000,3.503120e+001,-1.438267e-006,0.000000e+000,3,4.660461e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
