[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524079914.123000 4/18/2018, 1:31:54 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_35K_750s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524079914.121,,0.000000e+000,3.499637e+001,-1.240172e-005,0.000000e+000,3,9.302642e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524079926.486,,0.000000e+000,3.499715e+001,-1.097851e-005,0.000000e+000,3,9.201795e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.571655e-003,0.000000e+000,0,,0,
1524079938.938,,0.000000e+000,3.499872e+001,-9.936274e-006,0.000000e+000,3,9.121360e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524079951.624,,0.000000e+000,3.499872e+001,-9.135300e-006,0.000000e+000,3,9.060023e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524079964.169,,0.000000e+000,3.499872e+001,-8.409914e-006,0.000000e+000,3,8.951234e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524079976.867,,0.000000e+000,3.499989e+001,-7.777161e-006,0.000000e+000,3,8.916028e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524079989.379,,0.000000e+000,3.499833e+001,-7.304018e-006,0.000000e+000,3,8.775772e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080002.117,,0.000000e+000,3.499833e+001,-6.876906e-006,0.000000e+000,3,8.698693e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524080014.765,,0.000000e+000,3.499872e+001,-6.457110e-006,0.000000e+000,3,8.668183e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524080027.442,,0.000000e+000,3.499833e+001,-6.185243e-006,0.000000e+000,3,8.554059e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080040.178,,0.000000e+000,3.499872e+001,-5.831223e-006,0.000000e+000,3,8.455730e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080052.883,,0.000000e+000,3.499872e+001,-5.538642e-006,0.000000e+000,3,8.427516e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080065.508,,0.000000e+000,3.499911e+001,-5.207590e-006,0.000000e+000,3,8.271095e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524080078.191,,0.000000e+000,3.499715e+001,-5.013429e-006,0.000000e+000,3,8.213807e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.128052e-003,0.000000e+000,0,,0,
1524080090.746,,0.000000e+000,3.499950e+001,-4.809314e-006,0.000000e+000,3,8.125336e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524080103.051,,0.000000e+000,3.499754e+001,-4.610092e-006,0.000000e+000,3,7.886788e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.896423e-004,0.000000e+000,0,,0,
1524080115.506,,0.000000e+000,3.499833e+001,-4.440106e-006,0.000000e+000,3,7.967845e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524080128.454,,0.000000e+000,3.499833e+001,-4.188180e-006,0.000000e+000,3,7.877139e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524080140.899,,0.000000e+000,3.499793e+001,-4.047696e-006,0.000000e+000,3,7.749082e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.567841e-003,0.000000e+000,0,,0,
1524080153.202,,0.000000e+000,3.499872e+001,-3.862679e-006,0.000000e+000,3,7.642277e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080165.727,,0.000000e+000,3.499872e+001,-3.746972e-006,0.000000e+000,3,7.671008e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080178.425,,0.000000e+000,3.499833e+001,-3.586705e-006,0.000000e+000,3,7.568955e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080191.185,,0.000000e+000,3.499872e+001,-3.453178e-006,0.000000e+000,3,7.313743e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080204.277,,0.000000e+000,3.499872e+001,-3.347753e-006,0.000000e+000,3,7.378297e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080216.830,,0.000000e+000,3.499833e+001,-3.221447e-006,0.000000e+000,3,7.163739e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080229.550,,0.000000e+000,3.499911e+001,-3.046327e-006,0.000000e+000,3,6.906786e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.820129e-004,0.000000e+000,0,,0,
1524080242.243,,0.000000e+000,3.499833e+001,-2.992132e-006,0.000000e+000,3,6.895038e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080254.911,,0.000000e+000,3.499833e+001,-2.881405e-006,0.000000e+000,3,6.905194e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080267.618,,0.000000e+000,3.499872e+001,-2.729339e-006,0.000000e+000,3,6.618347e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080280.806,,0.000000e+000,3.499872e+001,-2.729456e-006,0.000000e+000,3,6.686776e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080293.449,,0.000000e+000,3.499872e+001,-2.612765e-006,0.000000e+000,3,6.520586e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524080305.954,,0.000000e+000,3.499754e+001,-2.499375e-006,0.000000e+000,3,6.418617e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
1524080318.307,,0.000000e+000,3.499872e+001,-2.495998e-006,0.000000e+000,3,6.185259e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524080330.992,,0.000000e+000,3.499833e+001,-2.309143e-006,0.000000e+000,3,6.000928e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080343.442,,0.000000e+000,3.499794e+001,-2.247966e-006,0.000000e+000,3,5.902720e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524080356.397,,0.000000e+000,3.499872e+001,-2.221033e-006,0.000000e+000,3,5.685662e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.560211e-003,0.000000e+000,0,,0,
1524080369.092,,0.000000e+000,3.499833e+001,-2.066803e-006,0.000000e+000,3,5.556169e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.781982e-004,0.000000e+000,0,,0,
1524080381.785,,0.000000e+000,3.499833e+001,-2.001570e-006,0.000000e+000,3,5.498000e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.349854e-003,0.000000e+000,0,,0,
