[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1455897616.221000 2/19/2016, 10:00:16 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K-01
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: Hysteresis_30K_250K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1455897616.221,,-2.509862e+004,3.000128e+001,-4.678014e-002,0.000000e+000,3,9.504421e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1455897638.621,,-2.409689e+004,3.000241e+001,-4.598982e-002,0.000000e+000,3,9.497605e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.790161e-003,0.000000e+000,0,,0,
1455897660.801,,-2.309188e+004,2.999902e+001,-4.522716e-002,0.000000e+000,3,9.489686e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.661011e-003,0.000000e+000,0,,0,
1455897683.491,,-2.208520e+004,3.000015e+001,-4.443027e-002,0.000000e+000,3,9.487297e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.260208e-003,0.000000e+000,0,,0,
1455897706.411,,-2.108293e+004,2.999958e+001,-4.358893e-002,0.000000e+000,3,9.485506e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.529953e-003,0.000000e+000,0,,0,
1455897728.501,,-2.008176e+004,2.999958e+001,-4.275861e-002,0.000000e+000,3,9.487202e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.389359e-003,0.000000e+000,0,,0,
1455897751.601,,-1.907839e+004,2.999958e+001,-4.191636e-002,0.000000e+000,3,9.484524e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.651474e-003,0.000000e+000,0,,0,
1455897773.561,,-1.807061e+004,2.999902e+001,-4.106173e-002,0.000000e+000,3,9.486420e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.398895e-003,0.000000e+000,0,,0,
1455897796.311,,-1.706778e+004,2.999873e+001,-4.021100e-002,0.000000e+000,3,9.482760e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.090714e-003,0.000000e+000,0,,0,
1455897818.601,,-1.606607e+004,2.999902e+001,-3.936486e-002,0.000000e+000,3,9.487326e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.398895e-003,0.000000e+000,0,,0,
