[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524659957.370000 4/25/2018, 6:39:17 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_58K_0.16Kmin_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524659957.370,,0.000000e+000,5.499182e+001,1.007399e-005,0.000000e+000,3,7.998458e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524659970.370,,0.000000e+000,5.499511e+001,9.119430e-006,0.000000e+000,3,7.850241e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524659983.120,,0.000000e+000,5.499906e+001,8.491489e-006,0.000000e+000,3,7.958435e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524659995.720,,0.000000e+000,5.500235e+001,8.016125e-006,0.000000e+000,3,7.780954e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524660007.920,,0.000000e+000,5.499577e+001,7.604008e-006,0.000000e+000,3,7.766622e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316071e-002,0.000000e+000,0,,0,
1524660020.560,,0.000000e+000,5.499051e+001,7.252703e-006,0.000000e+000,3,7.725662e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.632141e-003,0.000000e+000,0,,0,
1524660033.130,,0.000000e+000,5.499248e+001,6.923547e-006,0.000000e+000,3,7.665113e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524660045.820,,0.000000e+000,5.499972e+001,6.652775e-006,0.000000e+000,3,7.743525e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.314926e-002,0.000000e+000,0,,0,
1524660058.380,,0.000000e+000,5.500103e+001,6.395616e-006,0.000000e+000,3,7.754575e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052094e-002,0.000000e+000,0,,0,
1524660071.040,,0.000000e+000,5.499313e+001,6.170822e-006,0.000000e+000,3,7.703323e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.050949e-002,0.000000e+000,0,,0,
1524660083.590,,0.000000e+000,5.498985e+001,6.020541e-006,0.000000e+000,3,7.586876e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524660096.250,,0.000000e+000,5.499511e+001,5.814237e-006,0.000000e+000,3,7.676927e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
1524660108.800,,0.000000e+000,5.499773e+001,5.671516e-006,0.000000e+000,3,7.569811e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524660121.490,,0.000000e+000,5.499773e+001,5.496069e-006,0.000000e+000,3,7.619784e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524660134.050,,0.000000e+000,5.499642e+001,5.399118e-006,0.000000e+000,3,7.575044e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524660146.720,,0.000000e+000,5.499840e+001,5.215085e-006,0.000000e+000,3,7.550857e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524660159.240,,0.000000e+000,5.500103e+001,5.179942e-006,0.000000e+000,3,7.532024e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524660171.940,,0.000000e+000,5.499708e+001,5.045238e-006,0.000000e+000,3,7.543917e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524660184.480,,0.000000e+000,5.500169e+001,5.001698e-006,0.000000e+000,3,7.595566e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.208679e-003,0.000000e+000,0,,0,
1524660197.160,,0.000000e+000,5.500432e+001,4.877481e-006,0.000000e+000,3,7.628558e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524660209.690,,0.000000e+000,5.500037e+001,4.864701e-006,0.000000e+000,3,7.566090e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524660222.380,,0.000000e+000,5.499839e+001,4.701511e-006,0.000000e+000,3,7.602978e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524660234.940,,0.000000e+000,5.500169e+001,4.636623e-006,0.000000e+000,3,7.510230e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524660247.621,,0.000000e+000,5.500169e+001,4.538158e-006,0.000000e+000,3,7.644538e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524660260.171,,0.000000e+000,5.500235e+001,4.453997e-006,0.000000e+000,3,7.523018e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524660272.841,,0.000000e+000,5.500037e+001,4.408614e-006,0.000000e+000,3,7.607498e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524660285.401,,0.000000e+000,5.499906e+001,4.344652e-006,0.000000e+000,3,7.494749e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524660298.061,,0.000000e+000,5.499643e+001,4.243685e-006,0.000000e+000,3,7.579594e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524660310.591,,0.000000e+000,5.499972e+001,4.198671e-006,0.000000e+000,3,7.413507e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524660323.281,,0.000000e+000,5.500037e+001,4.100081e-006,0.000000e+000,3,7.487203e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.959656e-003,0.000000e+000,0,,0,
1524660335.821,,0.000000e+000,5.499313e+001,4.028147e-006,0.000000e+000,3,7.405541e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.892609e-003,0.000000e+000,0,,0,
1524660348.501,,0.000000e+000,5.499379e+001,3.931375e-006,0.000000e+000,3,7.413226e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.201050e-003,0.000000e+000,0,,0,
1524660361.031,,0.000000e+000,5.499839e+001,3.921505e-006,0.000000e+000,3,7.407447e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
