[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524132280.785000 4/19/2018, 4:04:40 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_53K_12000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524132280.785,,0.000000e+000,5.316882e+001,-1.963558e-005,0.000000e+000,3,9.649549e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.368492e-001,0.000000e+000,0,,0,
1524132292.935,,0.000000e+000,5.379757e+001,-1.781033e-005,0.000000e+000,3,9.663944e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.360306e-001,0.000000e+000,0,,0,
1524132305.945,,0.000000e+000,5.446838e+001,-1.611238e-005,0.000000e+000,3,9.620131e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.901596e-001,0.000000e+000,0,,0,
1524132318.165,,0.000000e+000,5.482018e+001,-1.472883e-005,0.000000e+000,3,9.586805e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.066498e-001,0.000000e+000,0,,0,
1524132331.075,,0.000000e+000,5.499845e+001,-1.336294e-005,0.000000e+000,3,9.603029e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.105003e-001,0.000000e+000,0,,0,
1524132343.455,,0.000000e+000,5.506821e+001,-1.244553e-005,0.000000e+000,3,9.535848e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.373123e-002,0.000000e+000,0,,0,
1524132356.315,,0.000000e+000,5.507611e+001,-1.151038e-005,0.000000e+000,3,9.648667e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524132369.815,,0.000000e+000,5.506689e+001,-1.084258e-005,0.000000e+000,3,9.613550e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.318741e-002,0.000000e+000,0,,0,
1524132382.335,,0.000000e+000,5.505634e+001,-1.009955e-005,0.000000e+000,3,9.531373e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524132395.195,,0.000000e+000,5.504909e+001,-9.632298e-006,0.000000e+000,3,9.525861e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.449966e-002,0.000000e+000,0,,0,
1524132407.725,,0.000000e+000,5.503657e+001,-9.216485e-006,0.000000e+000,3,9.523674e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.054001e-002,0.000000e+000,0,,0,
1524132420.355,,0.000000e+000,5.502274e+001,-8.833013e-006,0.000000e+000,3,9.516383e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.710892e-002,0.000000e+000,0,,0,
1524132433.575,,0.000000e+000,5.502209e+001,-8.595737e-006,0.000000e+000,3,9.543855e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524132446.125,,0.000000e+000,5.501090e+001,-8.196475e-006,0.000000e+000,3,9.440632e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.220123e-003,0.000000e+000,0,,0,
1524132458.705,,0.000000e+000,5.500629e+001,-7.971581e-006,0.000000e+000,3,9.532138e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524132470.905,,0.000000e+000,5.500366e+001,-7.647193e-006,0.000000e+000,3,9.409758e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524132483.365,,0.000000e+000,5.500432e+001,-7.472126e-006,0.000000e+000,3,9.490163e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524132495.895,,0.000000e+000,5.500037e+001,-7.255886e-006,0.000000e+000,3,9.423739e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.201050e-003,0.000000e+000,0,,0,
