[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524174010.349000 4/19/2018, 3:40:10 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, MFn1
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_37K_6000s_VRMde_35K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524174010.349,,0.000000e+000,3.688057e+001,-2.772863e-005,0.000000e+000,3,9.687782e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.424774e-001,0.000000e+000,0,,0,
1524174024.594,,0.000000e+000,3.605865e+001,-2.578319e-005,0.000000e+000,3,9.628945e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.469299e-001,0.000000e+000,0,,0,
1524174039.824,,0.000000e+000,3.473785e+001,-2.589707e-005,0.000000e+000,3,9.621555e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.191559e+000,0.000000e+000,0,,0,
1524174051.740,,0.000000e+000,3.426025e+001,-2.514430e-005,0.000000e+000,3,9.620557e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.318916e-001,0.000000e+000,0,,0,
1524174064.567,,0.000000e+000,3.462579e+001,-2.504198e-005,0.000000e+000,3,9.656938e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.282913e-001,0.000000e+000,0,,0,
1524174077.475,,0.000000e+000,3.490597e+001,-2.469268e-005,0.000000e+000,3,9.615784e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.710861e-002,0.000000e+000,0,,0,
1524174090.763,,0.000000e+000,3.496786e+001,-2.436213e-005,0.000000e+000,3,9.608769e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.264023e-002,0.000000e+000,0,,0,
1524174103.395,,0.000000e+000,3.498503e+001,-2.417265e-005,0.000000e+000,3,9.612452e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.470276e-003,0.000000e+000,0,,0,
1524174116.423,,0.000000e+000,3.499324e+001,-2.389530e-005,0.000000e+000,3,9.604143e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.692078e-003,0.000000e+000,0,,0,
1524174129.148,,0.000000e+000,3.499911e+001,-2.374511e-005,0.000000e+000,3,9.620158e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
