[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524184488.448000 4/19/2018, 6:34:48 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: VRMac_57K_3000s_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524184488.448,,0.000000e+000,5.698625e+001,-1.460314e-005,0.000000e+000,3,9.633987e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.084183e-002,0.000000e+000,0,,0,
1524184502.258,,0.000000e+000,5.694283e+001,-1.285561e-005,0.000000e+000,3,9.659565e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.638840e-002,0.000000e+000,0,,0,
1524184515.558,,0.000000e+000,5.689179e+001,-1.167962e-005,0.000000e+000,3,9.624596e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.890823e-002,0.000000e+000,0,,0,
1524184527.918,,0.000000e+000,5.681713e+001,-1.085422e-005,0.000000e+000,3,9.534187e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.528687e-002,0.000000e+000,0,,0,
1524184540.308,,0.000000e+000,5.669820e+001,-1.016248e-005,0.000000e+000,3,9.557657e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.180496e-001,0.000000e+000,0,,0,
1524184552.858,,0.000000e+000,5.654514e+001,-9.758325e-006,0.000000e+000,3,9.600505e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.603394e-001,0.000000e+000,0,,0,
1524184565.378,,0.000000e+000,5.634676e+001,-9.287923e-006,0.000000e+000,3,9.552895e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.867981e-001,0.000000e+000,0,,0,
1524184578.458,,0.000000e+000,5.612775e+001,-9.007613e-006,0.000000e+000,3,9.640263e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.745872e-001,0.000000e+000,0,,0,
1524184590.828,,0.000000e+000,5.587651e+001,-8.683204e-006,0.000000e+000,3,9.498095e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.381516e-001,0.000000e+000,0,,0,
1524184603.978,,0.000000e+000,5.559029e+001,-8.411297e-006,0.000000e+000,3,9.556491e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.373199e-001,0.000000e+000,0,,0,
1524185459.951,,0.000000e+000,5.499709e+001,-9.203715e-007,0.000000e+000,3,3.526953e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316071e-002,0.000000e+000,0,,0,
1524185473.101,,0.000000e+000,5.500563e+001,-4.854409e-006,0.000000e+000,3,9.314814e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184082e-002,0.000000e+000,0,,0,
1524185485.801,,0.000000e+000,5.501221e+001,-4.746963e-006,0.000000e+000,3,9.339778e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524185498.321,,0.000000e+000,5.501155e+001,-4.574131e-006,0.000000e+000,3,9.279645e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.271912e-003,0.000000e+000,0,,0,
1524185510.611,,0.000000e+000,5.500958e+001,-4.561833e-006,0.000000e+000,3,9.202384e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524185523.101,,0.000000e+000,5.499840e+001,-4.451166e-006,0.000000e+000,3,9.413707e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524185535.601,,0.000000e+000,5.499708e+001,-4.445877e-006,0.000000e+000,3,9.288456e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524185548.301,,0.000000e+000,5.499774e+001,-4.325867e-006,0.000000e+000,3,9.272195e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524185560.882,,0.000000e+000,5.499445e+001,-4.362140e-006,0.000000e+000,3,9.248914e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
1524185573.502,,0.000000e+000,5.499577e+001,-4.243164e-006,0.000000e+000,3,9.407712e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524185585.692,,0.000000e+000,5.500234e+001,-4.285961e-006,0.000000e+000,3,9.212316e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524185598.402,,0.000000e+000,5.500037e+001,-4.131833e-006,0.000000e+000,3,9.207765e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.201050e-003,0.000000e+000,0,,0,
1524185611.422,,0.000000e+000,5.499511e+001,-4.161944e-006,0.000000e+000,3,9.145809e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524185623.812,,0.000000e+000,5.499708e+001,-4.155297e-006,0.000000e+000,3,9.098228e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524185636.552,,0.000000e+000,5.499511e+001,-3.999726e-006,0.000000e+000,3,9.171181e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.201050e-003,0.000000e+000,0,,0,
1524185649.142,,0.000000e+000,5.499380e+001,-3.998965e-006,0.000000e+000,3,9.230675e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.572723e-003,0.000000e+000,0,,0,
1524185661.722,,0.000000e+000,5.499643e+001,-4.025499e-006,0.000000e+000,3,9.227211e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524185674.212,,0.000000e+000,5.500300e+001,-4.056725e-006,0.000000e+000,3,9.154708e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.220123e-003,0.000000e+000,0,,0,
1524185686.972,,0.000000e+000,5.500103e+001,-3.969462e-006,0.000000e+000,3,9.314048e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524185699.442,,0.000000e+000,5.499445e+001,-3.998116e-006,0.000000e+000,3,9.192675e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.314926e-002,0.000000e+000,0,,0,
1524185712.172,,0.000000e+000,5.500235e+001,-3.936951e-006,0.000000e+000,3,9.162139e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524185724.812,,0.000000e+000,5.499643e+001,-3.937313e-006,0.000000e+000,3,9.177845e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.448059e-002,0.000000e+000,0,,0,
1524185737.362,,0.000000e+000,5.499708e+001,-3.853950e-006,0.000000e+000,3,9.150522e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524185749.632,,0.000000e+000,5.499380e+001,-3.939204e-006,0.000000e+000,3,9.106461e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524185762.132,,0.000000e+000,5.499380e+001,-3.828737e-006,0.000000e+000,3,9.222741e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.446915e-002,0.000000e+000,0,,0,
1524185774.512,,0.000000e+000,5.500103e+001,-3.802625e-006,0.000000e+000,3,9.067466e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.279541e-003,0.000000e+000,0,,0,
1524185787.272,,0.000000e+000,5.499972e+001,-3.759365e-006,0.000000e+000,3,9.197997e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524185799.762,,0.000000e+000,5.499773e+001,-3.738398e-006,0.000000e+000,3,9.031513e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.308441e-003,0.000000e+000,0,,0,
1524185812.542,,0.000000e+000,5.500037e+001,-3.762162e-006,0.000000e+000,3,9.174444e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524185824.952,,0.000000e+000,5.500234e+001,-3.728785e-006,0.000000e+000,3,9.025151e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.578903e-002,0.000000e+000,0,,0,
1524185837.702,,0.000000e+000,5.499708e+001,-3.663539e-006,0.000000e+000,3,9.136397e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524185850.062,,0.000000e+000,5.499840e+001,-3.670601e-006,0.000000e+000,3,9.069989e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524185862.752,,0.000000e+000,5.499709e+001,-3.624698e-006,0.000000e+000,3,9.143242e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.052856e-002,0.000000e+000,0,,0,
1524185874.932,,0.000000e+000,5.499642e+001,-3.648678e-006,0.000000e+000,3,8.935314e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524185887.272,,0.000000e+000,5.499708e+001,-3.559377e-006,0.000000e+000,3,9.108312e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524185899.732,,0.000000e+000,5.500234e+001,-3.591623e-006,0.000000e+000,3,8.860062e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524185912.142,,0.000000e+000,5.500300e+001,-3.520050e-006,0.000000e+000,3,9.068378e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524185925.142,,0.000000e+000,5.499972e+001,-3.540858e-006,0.000000e+000,3,8.831047e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.268097e-003,0.000000e+000,0,,0,
1524185937.682,,0.000000e+000,5.499840e+001,-3.551808e-006,0.000000e+000,3,8.955716e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.628326e-003,0.000000e+000,0,,0,
